Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
01,La Jacetania,22006,Aísa,22,Huesca
01,La Jacetania,22028,Ansó,22,Huesca
01,La Jacetania,22032,Aragüés del Puerto,22,Huesca
01,La Jacetania,22044,Bailo,22,Huesca
01,La Jacetania,22068,Borau,22,Huesca
01,La Jacetania,22076,Canal de Berdún,22,Huesca
01,La Jacetania,22078,Canfranc,22,Huesca
01,La Jacetania,22086,Castiello de Jaca,22,Huesca
01,La Jacetania,22106,Fago,22,Huesca
01,La Jacetania,22130,Jaca,22,Huesca
01,La Jacetania,22131,Jasa,22,Huesca
01,La Jacetania,22208,Santa Cilia,22,Huesca
01,La Jacetania,22209,Santa Cruz de la Serós,22,Huesca
01,La Jacetania,22250,Villanúa,22,Huesca
01,La Jacetania,22901,Valle de Hecho,22,Huesca
01,La Jacetania,22902,Puente la Reina de Jaca,22,Huesca
01,La Jacetania,50035,Artieda,50,Zaragoza
01,La Jacetania,50168,Mianos,50,Zaragoza
01,La Jacetania,50232,Salvatierra de Esca,50,Zaragoza
01,La Jacetania,50245,Sigüés,50,Zaragoza
02,Alto Gállego,22059,Biescas,22,Huesca
02,Alto Gállego,22072,Caldearenas,22,Huesca
02,Alto Gállego,22122,Hoz de Jaca,22,Huesca
02,Alto Gállego,22170,Panticosa,22,Huesca
02,Alto Gállego,22199,Sabiñánigo,22,Huesca
02,Alto Gállego,22204,Sallent de Gállego,22,Huesca
02,Alto Gállego,22252,Yebra de Basa,22,Huesca
02,Alto Gállego,22253,Yésero,22,Huesca
03,Sobrarbe,22002,Abizanda,22,Huesca
03,Sobrarbe,22051,Bárcabo,22,Huesca
03,Sobrarbe,22057,Bielsa,22,Huesca
03,Sobrarbe,22066,Boltaña,22,Huesca
03,Sobrarbe,22069,Broto,22,Huesca
03,Sobrarbe,22107,Fanlo,22,Huesca
03,Sobrarbe,22109,Fiscal,22,Huesca
03,Sobrarbe,22113,Fueva (La),22,Huesca
03,Sobrarbe,22114,Gistaín,22,Huesca
03,Sobrarbe,22133,Labuerda,22,Huesca
03,Sobrarbe,22144,Laspuña,22,Huesca
03,Sobrarbe,22168,Palo,22,Huesca
03,Sobrarbe,22182,Plan,22,Huesca
03,Sobrarbe,22189,Puértolas,22,Huesca
03,Sobrarbe,22190,Pueyo de Araguás (El),22,Huesca
03,Sobrarbe,22207,San Juan de Plan,22,Huesca
03,Sobrarbe,22227,Tella-Sin,22,Huesca
03,Sobrarbe,22230,Torla-Ordesa,22,Huesca
03,Sobrarbe,22907,Aínsa-Sobrarbe,22,Huesca
04,Ribagorza,22035,Arén,22,Huesca
04,Ribagorza,22053,Benabarre,22,Huesca
04,Ribagorza,22054,Benasque,22,Huesca
04,Ribagorza,22062,Bisaurri,22,Huesca
04,Ribagorza,22067,Bonansa,22,Huesca
04,Ribagorza,22074,Campo,22,Huesca
04,Ribagorza,22080,Capella,22,Huesca
04,Ribagorza,22084,Castejón de Sos,22,Huesca
04,Ribagorza,22087,Castigaleu,22,Huesca
04,Ribagorza,22095,Chía,22,Huesca
04,Ribagorza,22105,Estopiñán del Castillo,22,Huesca
04,Ribagorza,22111,Foradada del Toscar,22,Huesca
04,Ribagorza,22117,Graus,22,Huesca
04,Ribagorza,22129,Isábena,22,Huesca
04,Ribagorza,22142,Lascuarre,22,Huesca
04,Ribagorza,22143,Laspaúles,22,Huesca
04,Ribagorza,22155,Monesma y Cajigar,22,Huesca
04,Ribagorza,22157,Montanuy,22,Huesca
04,Ribagorza,22177,Perarrúa,22,Huesca
04,Ribagorza,22187,Puebla de Castro (La),22,Huesca
04,Ribagorza,22188,Puente de Montañana,22,Huesca
04,Ribagorza,22200,Sahún,22,Huesca
04,Ribagorza,22212,Santaliestra y San Quílez,22,Huesca
04,Ribagorza,22214,Secastilla,22,Huesca
04,Ribagorza,22215,Seira,22,Huesca
04,Ribagorza,22221,Sesué,22,Huesca
04,Ribagorza,22223,Sopeira,22,Huesca
04,Ribagorza,22229,Tolva,22,Huesca
04,Ribagorza,22233,Torre la Ribera,22,Huesca
04,Ribagorza,22243,Valle de Bardají,22,Huesca
04,Ribagorza,22244,Valle de Lierp,22,Huesca
04,Ribagorza,22246,Beranuy,22,Huesca
04,Ribagorza,22247,Viacamp y Litera,22,Huesca
04,Ribagorza,22249,Villanova,22,Huesca
05,Cinco Villas,50033,Ardisa,50,Zaragoza
05,Cinco Villas,50036,Asín,50,Zaragoza
05,Cinco Villas,50041,Bagüés,50,Zaragoza
05,Cinco Villas,50051,Biota,50,Zaragoza
05,Cinco Villas,50077,Castejón de Valdejasa,50,Zaragoza
05,Cinco Villas,50078,Castiliscar,50,Zaragoza
05,Cinco Villas,50095,Ejea de los Caballeros,50,Zaragoza
05,Cinco Villas,50100,Erla,50,Zaragoza
05,Cinco Villas,50109,Frago (El),50,Zaragoza
05,Cinco Villas,50128,Isuerre,50,Zaragoza
