section_id,party,votes
0500101001,Cs,0
0500101001,ESCAÑOS EN BLANCO,0
0500101001,FE de las JONS,0
0500101001,IU-MS-VQ,1
0500101001,NUEVECYL,0
0500101001,PACMA,1
0500101001,PCAS-TC,0
0500101001,PODEMOS - AV,0
0500101001,PP,52
0500101001,PSOE,26
0500101001,SALF,0
0500101001,VOX,31
0500101001,XAV,11
0500201001,Cs,0
0500201001,ESCAÑOS EN BLANCO,0
0500201001,FE de las JONS,3
0500201001,IU-MS-VQ,20
0500201001,NUEVECYL,1
0500201001,PACMA,10
0500201001,PCAS-TC,1
0500201001,PODEMOS - AV,11
0500201001,PP,176
0500201001,PSOE,203
0500201001,SALF,11
0500201001,VOX,100
0500201001,XAV,45
0500201002,Cs,1
0500201002,ESCAÑOS EN BLANCO,1
0500201002,FE de las JONS,2
0500201002,IU-MS-VQ,15
0500201002,NUEVECYL,2
0500201002,PACMA,5
0500201002,PCAS-TC,1
0500201002,PODEMOS - AV,10
0500201002,PP,150
0500201002,PSOE,192
0500201002,SALF,18
0500201002,VOX,118
0500201002,XAV,32
0500501001,Cs,0
0500501001,ESCAÑOS EN BLANCO,1
0500501001,FE de las JONS,1
0500501001,IU-MS-VQ,0
0500501001,NUEVECYL,1
0500501001,PACMA,0
0500501001,PCAS-TC,0
0500501001,PODEMOS - AV,0
0500501001,PP,50
0500501001,PSOE,13
0500501001,SALF,3
0500501001,VOX,21
0500501001,XAV,23
0500701001,Cs,0
0500701001,ESCAÑOS EN BLANCO,0
0500701001,FE de las JONS,2
0500701001,IU-MS-VQ,0
0500701001,NUEVECYL,0
0500701001,PACMA,0
0500701001,PCAS-TC,0
0500701001,PODEMOS - AV,0
0500701001,PP,33
0500701001,PSOE,7
0500701001,SALF,0
0500701001,VOX,10
0500701001,XAV,7
0500801001,Cs,0
0500801001,ESCAÑOS EN BLANCO,0
0500801001,FE de las JONS,0
0500801001,IU-MS-VQ,0
0500801001,NUEVECYL,0
0500801001,PACMA,1
0500801001,PCAS-TC,0
0500801001,PODEMOS - AV,0
0500801001,PP,55
0500801001,PSOE,32
0500801001,SALF,0
0500801001,VOX,33
0500801001,XAV,8
0501001001,Cs,0
0501001001,ESCAÑOS EN BLANCO,0
0501001001,FE de las JONS,0
0501001001,IU-MS-VQ,1
0501001001,NUEVECYL,0
0501001001,PACMA,0
0501001001,PCAS-TC,0
0501001001,PODEMOS - AV,0
0501001001,PP,43
0501001001,PSOE,12
0501001001,SALF,3
0501001001,VOX,12
0501001001,XAV,12
0501201001,Cs,1
0501201001,ESCAÑOS EN BLANCO,0
0501201001,FE de las JONS,0
0501201001,IU-MS-VQ,0
0501201001,NUEVECYL,0
0501201001,PACMA,0
0501201001,PCAS-TC,0
0501201001,PODEMOS - AV,0
0501201001,PP,34
0501201001,PSOE,19
0501201001,SALF,1
0501201001,VOX,21
0501201001,XAV,12
0501301001,Cs,0
0501301001,ESCAÑOS EN BLANCO,1
0501301001,FE de las JONS,0
0501301001,IU-MS-VQ,4
0501301001,NUEVECYL,0
0501301001,PACMA,0
0501301001,PCAS-TC,13
0501301001,PODEMOS - AV,5
0501301001,PP,199
0501301001,PSOE,286
0501301001,SALF,2
0501301001,VOX,37
0501301001,XAV,16
0501401001,Cs,3
0501401001,ESCAÑOS EN BLANCO,1
0501401001,FE de las JONS,1
0501401001,IU-MS-VQ,25
0501401001,NUEVECYL,2
0501401001,PACMA,3
0501401001,PCAS-TC,4
0501401001,PODEMOS - AV,10
0501401001,PP,374
0501401001,PSOE,318
0501401001,SALF,15
0501401001,VOX,115
0501401001,XAV,29
0501402001,Cs,2
0501402001,ESCAÑOS EN BLANCO,0
0501402001,FE de las JONS,0
0501402001,IU-MS-VQ,20
0501402001,NUEVECYL,1
0501402001,PACMA,3
0501402001,PCAS-TC,0
0501402001,PODEMOS - AV,4
0501402001,PP,198
0501402001,PSOE,228
0501402001,SALF,1
0501402001,VOX,72
0501402001,XAV,11
0501402002,Cs,2
0501402002,ESCAÑOS EN BLANCO,2
0501402002,FE de las JONS,2
0501402002,IU-MS-VQ,25
0501402002,NUEVECYL,1
0501402002,PACMA,6
0501402002,PCAS-TC,8
0501402002,PODEMOS - AV,5
0501402002,PP,402
0501402002,PSOE,389
0501402002,SALF,16
0501402002,VOX,157
0501402002,XAV,53
0501403001,Cs,1
0501403001,ESCAÑOS EN BLANCO,1
0501403001,FE de las JONS,0
0501403001,IU-MS-VQ,37
0501403001,NUEVECYL,4
0501403001,PACMA,4
0501403001,PCAS-TC,5
0501403001,PODEMOS - AV,4
0501403001,PP,253
0501403001,PSOE,190
0501403001,SALF,6
0501403001,VOX,70
0501403001,XAV,24
0501501001,Cs,0
0501501001,ESCAÑOS EN BLANCO,1
0501501001,FE de las JONS,0
0501501001,IU-MS-VQ,0
0501501001,NUEVECYL,0
0501501001,PACMA,0
0501501001,PCAS-TC,0
0501501001,PODEMOS - AV,0
0501501001,PP,14
0501501001,PSOE,10
0501501001,SALF,0
0501501001,VOX,6
0501501001,XAV,3
0501601001,Cs,0
0501601001,ESCAÑOS EN BLANCO,0
0501601001,FE de las JONS,0
0501601001,IU-MS-VQ,2
0501601001,NUEVECYL,0
0501601001,PACMA,0
0501601001,PCAS-TC,4
0501601001,PODEMOS - AV,1
0501601001,PP,158
0501601001,PSOE,153
0501601001,SALF,9
0501601001,VOX,139
0501601001,XAV,23
0501602001,Cs,1
0501602001,ESCAÑOS EN BLANCO,0
0501602001,FE de las JONS,1
0501602001,IU-MS-VQ,8
0501602001,NUEVECYL,2
0501602001,PACMA,2
0501602001,PCAS-TC,2
0501602001,PODEMOS - AV,2
0501602001,PP,299
0501602001,PSOE,193
0501602001,SALF,13
0501602001,VOX,276
0501602001,XAV,39
0501602002,Cs,0
0501602002,ESCAÑOS EN BLANCO,2
0501602002,FE de las JONS,0
0501602002,IU-MS-VQ,6
0501602002,NUEVECYL,1
0501602002,PACMA,0
0501602002,PCAS-TC,0
0501602002,PODEMOS - AV,3
0501602002,PP,220
0501602002,PSOE,169
0501602002,SALF,2
0501602002,VOX,161
0501602002,XAV,26
0501602003,Cs,2
0501602003,ESCAÑOS EN BLANCO,0
0501602003,FE de las JONS,1
0501602003,IU-MS-VQ,6
0501602003,NUEVECYL,1
0501602003,PACMA,2
0501602003,PCAS-TC,1
0501602003,PODEMOS - AV,2
0501602003,PP,340
0501602003,PSOE,198
0501602003,SALF,23
0501602003,VOX,244
0501602003,XAV,52
0501602004,Cs,3
0501602004,ESCAÑOS EN BLANCO,1
0501602004,FE de las JONS,1
0501602004,IU-MS-VQ,2
0501602004,NUEVECYL,1
0501602004,PACMA,5
0501602004,PCAS-TC,0
0501602004,PODEMOS - AV,3
0501602004,PP,207
0501602004,PSOE,122
0501602004,SALF,7
0501602004,VOX,154
0501602004,XAV,29
0501602005,Cs,1
0501602005,ESCAÑOS EN BLANCO,3
0501602005,FE de las JONS,0
0501602005,IU-MS-VQ,11
0501602005,NUEVECYL,2
0501602005,PACMA,0
0501602005,PCAS-TC,3
0501602005,PODEMOS - AV,7
0501602005,PP,299
0501602005,PSOE,192
0501602005,SALF,9
0501602005,VOX,239
0501602005,XAV,31
0501701001,Cs,0
0501701001,ESCAÑOS EN BLANCO,0
0501701001,FE de las JONS,0
0501701001,IU-MS-VQ,0
0501701001,NUEVECYL,0
0501701001,PACMA,0
0501701001,PCAS-TC,1
0501701001,PODEMOS - AV,0
0501701001,PP,23
0501701001,PSOE,10
0501701001,SALF,1
0501701001,VOX,11
0501701001,XAV,9
0501801001,Cs,0
0501801001,ESCAÑOS EN BLANCO,0
0501801001,FE de las JONS,0
0501801001,IU-MS-VQ,0
0501801001,NUEVECYL,0
0501801001,PACMA,0
0501801001,PCAS-TC,0
0501801001,PODEMOS - AV,0
0501801001,PP,6
0501801001,PSOE,9
0501801001,SALF,0
0501801001,VOX,1
0501801001,XAV,0
0501901001,Cs,1
0501901001,ESCAÑOS EN BLANCO,2
0501901001,FE de las JONS,1
0501901001,IU-MS-VQ,14
0501901001,NUEVECYL,0
0501901001,PACMA,3
0501901001,PCAS-TC,2
0501901001,PODEMOS - AV,6
0501901001,PP,204
0501901001,PSOE,130
0501901001,SALF,6
0501901001,VOX,108
0501901001,XAV,150
0501901002,Cs,3
0501901002,ESCAÑOS EN BLANCO,5
0501901002,FE de las JONS,4
0501901002,IU-MS-VQ,11
0501901002,NUEVECYL,0
0501901002,PACMA,5
0501901002,PCAS-TC,0
0501901002,PODEMOS - AV,3
0501901002,PP,204
0501901002,PSOE,165
0501901002,SALF,14
0501901002,VOX,125
0501901002,XAV,162
0501902001,Cs,4
0501902001,ESCAÑOS EN BLANCO,4
0501902001,FE de las JONS,3
0501902001,IU-MS-VQ,18
0501902001,NUEVECYL,0
0501902001,PACMA,1
0501902001,PCAS-TC,1
0501902001,PODEMOS - AV,2
0501902001,PP,378
0501902001,PSOE,136
0501902001,SALF,18
0501902001,VOX,144
0501902001,XAV,196
0501902002,Cs,1
0501902002,ESCAÑOS EN BLANCO,2
0501902002,FE de las JONS,2
0501902002,IU-MS-VQ,6
0501902002,NUEVECYL,0
0501902002,PACMA,1
0501902002,PCAS-TC,0
0501902002,PODEMOS - AV,4
0501902002,PP,286
0501902002,PSOE,87
0501902002,SALF,9
0501902002,VOX,96
0501902002,XAV,122
0501903001,Cs,1
0501903001,ESCAÑOS EN BLANCO,2
0501903001,FE de las JONS,0
0501903001,IU-MS-VQ,21
0501903001,NUEVECYL,0
0501903001,PACMA,1
0501903001,PCAS-TC,2
0501903001,PODEMOS - AV,13
0501903001,PP,245
0501903001,PSOE,213
0501903001,SALF,8
0501903001,VOX,110
0501903001,XAV,234
0501903002,Cs,2
0501903002,ESCAÑOS EN BLANCO,3
0501903002,FE de las JONS,0
0501903002,IU-MS-VQ,11
0501903002,NUEVECYL,0
0501903002,PACMA,4
0501903002,PCAS-TC,1
0501903002,PODEMOS - AV,8
0501903002,PP,292
0501903002,PSOE,210
0501903002,SALF,12
0501903002,VOX,169
0501903002,XAV,258
0501904001,Cs,4
0501904001,ESCAÑOS EN BLANCO,0
0501904001,FE de las JONS,1
0501904001,IU-MS-VQ,11
0501904001,NUEVECYL,1
0501904001,PACMA,7
0501904001,PCAS-TC,0
0501904001,PODEMOS - AV,2
0501904001,PP,265
0501904001,PSOE,165
0501904001,SALF,12
0501904001,VOX,155
0501904001,XAV,244
0501904002,Cs,3
0501904002,ESCAÑOS EN BLANCO,1
0501904002,FE de las JONS,1
0501904002,IU-MS-VQ,16
