CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,CUSEC_KEY,POP_2025
2201901001,22019,001,01,019,22,02,2201901,22019,Huesca,Aragón,ES,2,4,1,Alerre,2201901001,224
2202001001,22020,001,01,020,22,02,2202001,22020,Huesca,Aragón,ES,2,4,1,Alfántega,2202001001,128
2202101001,22021,001,01,021,22,02,2202101,22021,Huesca,Aragón,ES,2,4,1,Almudévar,2202101001,978
2202101002,22021,002,01,021,22,02,2202101,22021,Huesca,Aragón,ES,2,4,1,Almudévar,2202101002,1473
2202201001,22022,001,01,022,22,02,2202201,22022,Huesca,Aragón,ES,2,4,1,Almunia de San Juan,2202201001,737
2202301001,22023,001,01,023,22,02,2202301,22023,Huesca,Aragón,ES,2,4,1,Almuniente,2202301001,450
2202401001,22024,001,01,024,22,02,2202401,22024,Huesca,Aragón,ES,2,4,1,Alquézar,2202401001,325
2202501001,22025,001,01,025,22,02,2202501,22025,Huesca,Aragón,ES,2,4,1,Altorricón,2202501001,1496
2202701001,22027,001,01,027,22,02,2202701,22027,Huesca,Aragón,ES,2,4,1,Angüés,2202701001,349
2202801001,22028,001,01,028,22,02,2202801,22028,Huesca,Aragón,ES,2,4,1,Ansó,2202801001,409
2202901001,22029,001,01,029,22,02,2202901,22029,Huesca,Aragón,ES,2,4,1,Antillón,2202901001,127
2203201001,22032,001,01,032,22,02,2203201,22032,Huesca,Aragón,ES,2,4,1,Aragüés del Puerto,2203201001,123
2203501001,22035,001,01,035,22,02,2203501,22035,Huesca,Aragón,ES,2,4,1,Arén,2203501001,307
2203601001,22036,001,01,036,22,02,2203601,22036,Huesca,Aragón,ES,2,4,1,Argavieso,2203601001,109
2203701001,22037,001,01,037,22,02,2203701,22037,Huesca,Aragón,ES,2,4,1,Arguis,2203701001,168
2203901001,22039,001,01,039,22,02,2203901,22039,Huesca,Aragón,ES,2,4,1,Ayerbe,2203901001,1051
2204001001,22040,001,01,040,22,02,2204001,22040,Huesca,Aragón,ES,2,4,1,Azanuy-Alins,2204001001,184
2204101001,22041,001,01,041,22,02,2204101,22041,Huesca,Aragón,ES,2,4,1,Azara,2204101001,167
2204201001,22042,001,01,042,22,02,2204201,22042,Huesca,Aragón,ES,2,4,1,Azlor,2204201001,155
2200101001,22001,001,01,001,22,02,2200101,22001,Huesca,Aragón,ES,2,4,1,Abiego,2200101001,259
2200201001,22002,001,01,002,22,02,2200201,22002,Huesca,Aragón,ES,2,4,1,Abizanda,2200201001,161
2200301001,22003,001,01,003,22,02,2200301,22003,Huesca,Aragón,ES,2,4,1,Adahuesca,2200301001,196
2200401001,22004,001,01,004,22,02,2200401,22004,Huesca,Aragón,ES,2,4,1,Agüero,2200401001,144
2200601001,22006,001,01,006,22,02,2200601,22006,Huesca,Aragón,ES,2,4,1,Aisa,2200601001,327
2200701001,22007,001,01,007,22,02,2200701,22007,Huesca,Aragón,ES,2,4,1,Albalate de Cinca,2200701001,1111
2200801001,22008,001,01,008,22,02,2200801,22008,Huesca,Aragón,ES,2,4,1,Albalatillo,2200801001,223
2200901001,22009,001,01,009,22,02,2200901,22009,Huesca,Aragón,ES,2,4,1,Albelda,2200901001,727
2201101001,22011,001,01,011,22,02,2201101,22011,Huesca,Aragón,ES,2,4,1,Albero Alto,2201101001,123
2201201001,22012,001,01,012,22,02,2201201,22012,Huesca,Aragón,ES,2,4,1,Albero Bajo,2201201001,109
2201301001,22013,001,01,013,22,02,2201301,22013,Huesca,Aragón,ES,2,4,1,Alberuela de Tubo,2201301001,270
2201401001,22014,001,01,014,22,02,2201401,22014,Huesca,Aragón,ES,2,4,1,Alcalá de Gurrea,2201401001,264
2201501001,22015,001,01,015,22,02,2201501,22015,Huesca,Aragón,ES,2,4,1,Alcalá del Obispo,2201501001,394
2201601001,22016,001,01,016,22,02,2201601,22016,Huesca,Aragón,ES,2,4,1,Alcampell,2201601001,648
2201701001,22017,001,01,017,22,02,2201701,22017,Huesca,Aragón,ES,2,4,1,Alcolea de Cinca,2201701001,1138
2201801001,22018,001,01,018,22,02,2201801,22018,Huesca,Aragón,ES,2,4,1,Alcubierre,2201801001,399
2204301001,22043,001,01,043,22,02,2204301,22043,Huesca,Aragón,ES,2,4,1,Baélls,2204301001,91
2204401001,22044,001,01,044,22,02,2204401,22044,Huesca,Aragón,ES,2,4,1,Bailo,2204401001,263
2204501001,22045,001,01,045,22,02,2204501,22045,Huesca,Aragón,ES,2,4,1,Baldellou,2204501001,81
2204601001,22046,001,01,046,22,02,2204601,22046,Huesca,Aragón,ES,2,4,1,Ballobar,2204601001,870
2204701001,22047,001,01,047,22,02,2204701,22047,Huesca,Aragón,ES,2,4,1,Banastás,2204701001,337
2204801002,22048,002,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801002,1815
2204801003,22048,003,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801003,1058
2204801004,22048,004,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801004,1226
2204801005,22048,005,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801005,2405
2204801006,22048,006,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801006,1346
2204801007,22048,007,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801007,1725
2204801008,22048,008,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801008,1275
2204801009,22048,009,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801009,970
2204801010,22048,010,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801010,2626
2204801011,22048,011,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801011,2041
2204801012,22048,012,01,048,22,02,2204801,22048,Huesca,Aragón,ES,2,4,1,Barbastro,2204801012,1312
2204901001,22049,001,01,049,22,02,2204901,22049,Huesca,Aragón,ES,2,4,1,Barbués,2204901001,97
2205001001,22050,001,01,050,22,02,2205001,22050,Huesca,Aragón,ES,2,4,1,Barbuñales,2205001001,93
2205101001,22051,001,01,051,22,02,2205101,22051,Huesca,Aragón,ES,2,4,1,Bárcabo,2205101001,116
2205201001,22052,001,01,052,22,02,2205201,22052,Huesca,Aragón,ES,2,4,1,Belver de Cinca,2205201001,1284
2205301001,22053,001,01,053,22,02,2205301,22053,Huesca,Aragón,ES,2,4,1,Benabarre,2205301001,1146
2205401001,22054,001,01,054,22,02,2205401,22054,Huesca,Aragón,ES,2,4,1,Benasque,2205401001,2366
2205501001,22055,001,01,055,22,02,2205501,22055,Huesca,Aragón,ES,2,4,1,Berbegal,2205501001,321
2205701001,22057,001,01,057,22,02,2205701,22057,Huesca,Aragón,ES,2,4,1,Bielsa,2205701001,478
2205801001,22058,001,01,058,22,02,2205801,22058,Huesca,Aragón,ES,2,4,1,Bierge,2205801001,241
2205901001,22059,001,01,059,22,02,2205901,22059,Huesca,Aragón,ES,2,4,1,Biescas,2205901001,1646
2206001001,22060,001,01,060,22,02,2206001,22060,Huesca,Aragón,ES,2,4,1,Binaced,2206001001,1680
2206101001,22061,001,01,061,22,02,2206101,22061,Huesca,Aragón,ES,2,4,1,Binéfar,2206101001,2361
2206101002,22061,002,01,061,22,02,2206101,22061,Huesca,Aragón,ES,2,4,1,Binéfar,2206101002,2507
2206101003,22061,003,01,061,22,02,2206101,22061,Huesca,Aragón,ES,2,4,1,Binéfar,2206101003,2331
2206101004,22061,004,01,061,22,02,2206101,22061,Huesca,Aragón,ES,2,4,1,Binéfar,2206101004,2970
2206201001,22062,001,01,062,22,02,2206201,22062,Huesca,Aragón,ES,2,4,1,Bisaurri,2206201001,176
2206301001,22063,001,01,063,22,02,2206301,22063,Huesca,Aragón,ES,2,4,1,Biscarrués,2206301001,190
2206401001,22064,001,01,064,22,02,2206401,22064,Huesca,Aragón,ES,2,4,1,Blecua y Torres,2206401001,175
2206601001,22066,001,01,066,22,02,2206601,22066,Huesca,Aragón,ES,2,4,1,Boltaña,2206601001,1091
2206701001,22067,001,01,067,22,02,2206701,22067,Huesca,Aragón,ES,2,4,1,Bonansa,2206701001,85
2206801001,22068,001,01,068,22,02,2206801,22068,Huesca,Aragón,ES,2,4,1,Borau,2206801001,77
2206901001,22069,001,01,069,22,02,2206901,22069,Huesca,Aragón,ES,2,4,1,Broto,2206901001,617
2207201001,22072,001,01,072,22,02,2207201,22072,Huesca,Aragón,ES,2,4,1,Caldearenas,2207201001,222
2207401001,22074,001,01,074,22,02,2207401,22074,Huesca,Aragón,ES,2,4,1,Campo,2207401001,496
2207501001,22075,001,01,075,22,02,2207501,22075,Huesca,Aragón,ES,2,4,1,Camporrélls,2207501001,152
2207601001,22076,001,01,076,22,02,2207601,22076,Huesca,Aragón,ES,2,4,1,Canal de Berdún,2207601001,321
2207701001,22077,001,01,077,22,02,2207701,22077,Huesca,Aragón,ES,2,4,1,Candasnos,2207701001,475
2207801001,22078,001,01,078,22,02,2207801,22078,Huesca,Aragón,ES,2,4,1,Canfranc,2207801001,632
2207901001,22079,001,01,079,22,02,2207901,22079,Huesca,Aragón,ES,2,4,1,Capdesaso,2207901001,192
2208001001,22080,001,01,080,22,02,2208001,22080,Huesca,Aragón,ES,2,4,1,Capella,2208001001,358
2208101001,22081,001,01,081,22,02,2208101,22081,Huesca,Aragón,ES,2,4,1,Casbas de Huesca,2208101001,287
2208201001,22082,001,01,082,22,02,2208201,22082,Huesca,Aragón,ES,2,4,1,Castejón del Puente,2208201001,359
2208301001,22083,001,01,083,22,02,2208301,22083,Huesca,Aragón,ES,2,4,1,Castejón de Monegros,2208301001,458
