CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
2201901001,22019,Alerre,22,Huesca,224,45
2202001001,22020,Alfántega,22,Huesca,128,36
2202101001,22021,Almudévar,22,Huesca,978,45
2202101002,22021,Almudévar,22,Huesca,1473,54
2202201001,22022,Almunia de San Juan,22,Huesca,737,36
2202301001,22023,Almuniente,22,Huesca,450,9
2202401001,22024,Alquézar,22,Huesca,325,9
2202501001,22025,Altorricón,22,Huesca,1496,63
2202701001,22027,Angüés,22,Huesca,349,9
2202801001,22028,Ansó,22,Huesca,409,10
2202901001,22029,Antillón,22,Huesca,127,9
2203201001,22032,Aragüés del Puerto,22,Huesca,123,10
2203501001,22035,Arén,22,Huesca,307,32
2203601001,22036,Argavieso,22,Huesca,109,9
2203701001,22037,Arguis,22,Huesca,168,45
2203901001,22039,Ayerbe,22,Huesca,1051,45
2204001001,22040,Azanuy-Alins,22,Huesca,184,36
2204101001,22041,Azara,22,Huesca,167,9
2204201001,22042,Azlor,22,Huesca,155,9
2200101001,22001,Abiego,22,Huesca,259,9
2200201001,22002,Abizanda,22,Huesca,161,8
2200301001,22003,Adahuesca,22,Huesca,196,9
2200401001,22004,Agüero,22,Huesca,144,42
2200601001,22006,Aisa,22,Huesca,327,10
2200701001,22007,Albalate de Cinca,22,Huesca,1111,23
2200801001,22008,Albalatillo,22,Huesca,223,28
2200901001,22009,Albelda,22,Huesca,727,63
2201101001,22011,Albero Alto,22,Huesca,123,9
2201201001,22012,Albero Bajo,22,Huesca,109,9
2201301001,22013,Alberuela de Tubo,22,Huesca,270,55
2201401001,22014,Alcalá de Gurrea,22,Huesca,264,45
2201501001,22015,Alcalá del Obispo,22,Huesca,394,9
2201601001,22016,Alcampell,22,Huesca,648,63
2201701001,22017,Alcolea de Cinca,22,Huesca,1138,29
2201801001,22018,Alcubierre,22,Huesca,399,54
2204301001,22043,Baélls,22,Huesca,91,63
2204401001,22044,Bailo,22,Huesca,263,42
2204501001,22045,Baldellou,22,Huesca,81,63
2204601001,22046,Ballobar,22,Huesca,870,23
2204701001,22047,Banastás,22,Huesca,337,45
2204801002,22048,Barbastro,22,Huesca,1815,8
2204801003,22048,Barbastro,22,Huesca,1058,8
