district_id,party,votes,bloc
0,PP,2795,derecha
0,PSOE,2557,izquierda
0,VOX,1317,derecha
0,CHA,989,izquierda
0,IU- MOVIMIENTO SUMAR,275,izquierda
0,SALF,250,derecha
0,EXISTE,242,otros
0,PODEMOS -AV,107,izquierda
0,PAR,47,centro
0,PACMA,45,
0,ESCAÑOS EN BLANCO,42,
0,MUNDO+JUSTO,16,
0,PCTE,10,
0,COALICIÓN ARAGONESA,2,
1,PP,2654,derecha
1,PSOE,2357,izquierda
1,VOX,1278,derecha
1,CHA,1213,izquierda
1,IU- MOVIMIENTO SUMAR,337,izquierda
1,EXISTE,251,otros
1,SALF,211,derecha
1,PODEMOS -AV,132,izquierda
1,PAR,122,centro
1,ESCAÑOS EN BLANCO,55,
1,PACMA,31,
1,MUNDO+JUSTO,9,
1,COALICIÓN ARAGONESA,7,
1,ETXSBC,3,
1,PCTE,1,
2,PP,3147,derecha
2,PSOE,2253,izquierda
2,VOX,1478,derecha
2,CHA,999,izquierda
2,IU- MOVIMIENTO SUMAR,363,izquierda
2,SALF,248,derecha
2,EXISTE,237,otros
2,PODEMOS -AV,91,izquierda
2,PAR,68,centro
2,ESCAÑOS EN BLANCO,51,
2,PACMA,51,
2,COALICIÓN ARAGONESA,15,
2,PCTE,9,
2,MUNDO+JUSTO,7,
3,PP,3543,derecha
3,PSOE,2774,izquierda
3,VOX,1524,derecha
3,CHA,1251,izquierda
3,IU- MOVIMIENTO SUMAR,308,izquierda
3,EXISTE,273,otros
3,SALF,244,derecha
3,PODEMOS -AV,114,izquierda
3,PAR,60,centro
3,ESCAÑOS EN BLANCO,54,
3,PACMA,44,
3,COALICIÓN ARAGONESA,11,
3,MUNDO+JUSTO,11,
3,PCTE,11,
4,PP,3925,derecha
4,PSOE,2228,izquierda
4,VOX,1651,derecha
4,CHA,1069,izquierda
4,IU- MOVIMIENTO SUMAR,320,izquierda
4,SALF,278,derecha
4,EXISTE,238,otros
4,PODEMOS -AV,88,izquierda
4,ESCAÑOS EN BLANCO,84,
4,PAR,74,centro
4,PACMA,42,
4,PCTE,11,
4,COALICIÓN ARAGONESA,7,
4,MUNDO+JUSTO,6,
5,PP,2931,derecha
5,PSOE,2182,izquierda
5,VOX,1225,derecha
5,CHA,854,izquierda
5,IU- MOVIMIENTO SUMAR,262,izquierda
5,EXISTE,235,otros
5,SALF,166,derecha
5,PODEMOS -AV,102,izquierda
5,PAR,67,centro
5,ESCAÑOS EN BLANCO,52,
5,PACMA,32,
5,PCTE,14,
5,MUNDO+JUSTO,9,
5,COALICIÓN ARAGONESA,4,
6,PSOE,3192,izquierda
6,PP,3148,derecha
6,VOX,1742,derecha
6,CHA,1455,izquierda
6,IU- MOVIMIENTO SUMAR,384,izquierda
6,SALF,281,derecha
6,EXISTE,266,otros
6,PODEMOS -AV,157,izquierda
6,ESCAÑOS EN BLANCO,82,
6,PAR,74,centro
6,PACMA,58,
6,MUNDO+JUSTO,10,
6,COALICIÓN ARAGONESA,7,
6,PCTE,6,
7,PP,3387,derecha
7,PSOE,1953,izquierda
7,VOX,1760,derecha
7,CHA,706,izquierda
7,SALF,179,derecha
7,EXISTE,147,otros
7,PAR,118,centro
7,IU- MOVIMIENTO SUMAR,78,izquierda
7,PODEMOS -AV,67,izquierda
7,ESCAÑOS EN BLANCO,24,
7,PACMA,15,
7,PCTE,6,
7,MUNDO+JUSTO,4,
7,COALICIÓN ARAGONESA,2,
8,PP,3083,derecha
8,PSOE,2397,izquierda
8,VOX,1848,derecha
8,CHA,1055,izquierda
8,IU- MOVIMIENTO SUMAR,267,izquierda
8,EXISTE,225,otros
8,SALF,198,derecha
8,PAR,131,centro
8,PODEMOS -AV,87,izquierda
8,ESCAÑOS EN BLANCO,59,
8,PACMA,30,
8,COALICIÓN ARAGONESA,10,
8,MUNDO+JUSTO,7,
8,ETXSBC,2,
9,PP,2968,derecha
9,PSOE,2467,izquierda
9,VOX,1612,derecha
9,CHA,1029,izquierda
9,IU- MOVIMIENTO SUMAR,246,izquierda
9,EXISTE,211,otros
9,SALF,197,derecha
9,PAR,96,centro
9,ESCAÑOS EN BLANCO,72,
9,PODEMOS -AV,65,izquierda
9,PACMA,55,
9,MUNDO+JUSTO,15,
9,COALICIÓN ARAGONESA,6,
9,ETXSBC,1,
10,PP,2937,derecha
10,PSOE,2432,izquierda
10,VOX,1552,derecha
10,CHA,1216,izquierda
10,SALF,244,derecha
10,IU- MOVIMIENTO SUMAR,238,izquierda
10,EXISTE,194,otros
10,PAR,126,centro
10,PODEMOS -AV,78,izquierda
10,ESCAÑOS EN BLANCO,47,
10,PACMA,31,
10,MUNDO+JUSTO,8,
10,PCTE,7,
10,COALICIÓN ARAGONESA,4,
10,ETXSBC,1,
11,PP,3356,derecha
11,PSOE,2460,izquierda
11,VOX,1295,derecha
11,CHA,952,izquierda
11,IU- MOVIMIENTO SUMAR,254,izquierda
11,EXISTE,218,otros
11,SALF,214,derecha
11,PODEMOS -AV,96,izquierda
11,PAR,79,centro
11,ESCAÑOS EN BLANCO,65,
11,PACMA,48,
11,PCTE,15,
11,MUNDO+JUSTO,11,
11,COALICIÓN ARAGONESA,6,
12,PP,5189,derecha
12,PSOE,1955,izquierda
12,VOX,1632,derecha
12,CHA,898,izquierda
12,EXISTE,272,otros
12,IU- MOVIMIENTO SUMAR,238,izquierda
12,SALF,189,derecha
12,PODEMOS -AV,70,izquierda
12,PAR,69,centro
12,ESCAÑOS EN BLANCO,63,
12,PACMA,34,
12,MUNDO+JUSTO,8,
12,COALICIÓN ARAGONESA,7,
12,PCTE,7,
13,PP,3240,derecha
13,PSOE,2606,izquierda
13,VOX,1667,derecha
13,EXISTE,1075,otros
13,CHA,437,izquierda
13,PAR,437,centro
13,SALF,177,derecha
13,IU- MOVIMIENTO SUMAR,137,izquierda
13,PODEMOS -AV,52,izquierda
13,ESCAÑOS EN BLANCO,33,
13,PACMA,30,
13,COALICIÓN ARAGONESA,7,
14,PP,3993,derecha
14,VOX,2286,derecha
14,PSOE,1969,izquierda
14,CHA,1008,izquierda
14,SALF,438,derecha
14,IU- MOVIMIENTO SUMAR,302,izquierda
14,EXISTE,226,otros
14,PODEMOS -AV,91,izquierda
14,ESCAÑOS EN BLANCO,88,
14,PAR,74,centro
14,PACMA,46,
14,PCTE,11,
14,MUNDO+JUSTO,8,
14,COALICIÓN ARAGONESA,5,
15,PP,5593,derecha
15,VOX,1893,derecha
15,PSOE,1396,izquierda
15,CHA,678,izquierda
15,IU- MOVIMIENTO SUMAR,364,izquierda
15,SALF,273,derecha
15,EXISTE,163,otros
15,PODEMOS -AV,88,izquierda
15,ESCAÑOS EN BLANCO,71,
15,PAR,47,centro
15,PACMA,42,
15,MUNDO+JUSTO,16,
15,PCTE,9,
15,COALICIÓN ARAGONESA,5,
16,PP,4162,derecha
16,VOX,3149,derecha
16,PSOE,2490,izquierda
16,EXISTE,2249,otros
16,CHA,479,izquierda
16,SALF,369,derecha
16,PAR,300,centro
16,IU- MOVIMIENTO SUMAR,184,izquierda
16,ESCAÑOS EN BLANCO,102,
16,PODEMOS -AV,52,izquierda
16,PACMA,36,
16,COALICIÓN ARAGONESA,7,
17,PP,2878,derecha
17,VOX,2176,derecha
17,PSOE,1624,izquierda
17,CHA,1425,izquierda
17,SALF,585,derecha
17,IU- MOVIMIENTO SUMAR,324,izquierda
17,EXISTE,266,otros
17,PODEMOS -AV,113,izquierda
17,ESCAÑOS EN BLANCO,102,
17,PAR,83,centro
17,PACMA,73,
17,PCTE,14,
17,MUNDO+JUSTO,11,
17,COALICIÓN ARAGONESA,4,
18,PP,4088,derecha
18,VOX,2118,derecha
18,PSOE,1975,izquierda
18,CHA,1321,izquierda
18,SALF,525,derecha
18,IU- MOVIMIENTO SUMAR,307,izquierda
18,EXISTE,295,otros
18,PODEMOS -AV,128,izquierda
18,ESCAÑOS EN BLANCO,95,
18,PAR,81,centro
18,PACMA,47,
18,MUNDO+JUSTO,12,
18,PCTE,10,
18,COALICIÓN ARAGONESA,8,
19,PP,4066,derecha
19,PSOE,2218,izquierda
19,VOX,1387,derecha
19,CHA,1127,izquierda
19,IU- MOVIMIENTO SUMAR,478,izquierda
19,EXISTE,256,otros
19,SALF,187,derecha
19,PODEMOS -AV,139,izquierda
19,ESCAÑOS EN BLANCO,77,
19,PAR,67,centro
19,PACMA,43,
19,PCTE,9,
19,MUNDO+JUSTO,8,
19,COALICIÓN ARAGONESA,7,
20,PP,4776,derecha
20,PSOE,2261,izquierda
20,VOX,1552,derecha
20,CHA,1087,izquierda
20,IU- MOVIMIENTO SUMAR,365,izquierda
20,EXISTE,279,otros
20,SALF,265,derecha
20,PODEMOS -AV,111,izquierda
20,ESCAÑOS EN BLANCO,81,
20,PAR,72,centro
20,PACMA,30,
20,MUNDO+JUSTO,11,
20,PCTE,7,
20,COALICIÓN ARAGONESA,6,
21,PP,3339,derecha
21,PSOE,2421,izquierda
21,VOX,1925,derecha
21,CHA,1361,izquierda
21,IU- MOVIMIENTO SUMAR,389,izquierda
21,SALF,326,derecha
21,EXISTE,303,otros
21,PODEMOS -AV,106,izquierda
21,PAR,84,centro
21,ESCAÑOS EN BLANCO,75,
21,PACMA,59,
21,MUNDO+JUSTO,17,
21,PCTE,10,
21,COALICIÓN ARAGONESA,5,
22,PP,3156,derecha
22,PSOE,2574,izquierda
22,VOX,2168,derecha
22,CHA,851,izquierda
22,SALF,426,derecha
22,IU- MOVIMIENTO SUMAR,232,izquierda
22,EXISTE,200,otros
22,PODEMOS -AV,90,izquierda
22,PAR,78,centro
22,ESCAÑOS EN BLANCO,62,
22,PACMA,48,
22,PCTE,10,
22,COALICIÓN ARAGONESA,8,
22,MUNDO+JUSTO,5,
23,PP,2370,derecha
23,PSOE,1930,izquierda
23,VOX,1608,derecha
23,CHA,299,izquierda
23,SALF,189,derecha
23,EXISTE,183,otros
23,ETXSBC,146,
23,IU- MOVIMIENTO SUMAR,98,izquierda
23,PAR,46,centro
23,PODEMOS -AV,44,izquierda
23,ESCAÑOS EN BLANCO,36,
23,PACMA,21,
23,MUNDO+JUSTO,7,
23,COALICIÓN ARAGONESA,4,
23,PCTE,3,
24,PP,2666,derecha
24,PSOE,2253,izquierda
24,VOX,1496,derecha
24,CHA,836,izquierda
24,IU- MOVIMIENTO SUMAR,268,izquierda
24,SALF,179,derecha
24,EXISTE,167,otros
24,PODEMOS -AV,65,izquierda
24,ESCAÑOS EN BLANCO,54,
24,PAR,49,centro
24,PACMA,47,
24,MUNDO+JUSTO,9,
24,COALICIÓN ARAGONESA,8,
24,ETXSBC,4,
25,PP,3243,derecha
25,PSOE,2886,izquierda
25,VOX,1658,derecha
25,CHA,1458,izquierda
25,IU- MOVIMIENTO SUMAR,387,izquierda
25,EXISTE,279,otros
25,SALF,276,derecha
25,PODEMOS -AV,145,izquierda
25,PAR,88,centro
25,ESCAÑOS EN BLANCO,60,
25,PACMA,48,
25,PCTE,11,
25,MUNDO+JUSTO,8,
25,COALICIÓN ARAGONESA,2,
26,PP,3226,derecha
26,PSOE,2444,izquierda
26,VOX,1908,derecha
26,CHA,727,izquierda
26,EXISTE,270,otros
26,SALF,229,derecha
26,IU- MOVIMIENTO SUMAR,134,izquierda
26,PAR,129,centro
26,PODEMOS -AV,66,izquierda
26,ESCAÑOS EN BLANCO,62,
26,PACMA,23,
26,PCTE,8,
26,MUNDO+JUSTO,4,
26,COALICIÓN ARAGONESA,2,
27,PSOE,2084,izquierda
27,PP,2074,derecha
27,VOX,1079,derecha
27,CHA,869,izquierda
27,IU- MOVIMIENTO SUMAR,294,izquierda
27,EXISTE,153,otros
27,SALF,145,derecha
27,PODEMOS -AV,104,izquierda
27,ESCAÑOS EN BLANCO,43,
27,PACMA,41,
27,PAR,38,centro
27,COALICIÓN ARAGONESA,14,
27,MUNDO+JUSTO,6,
27,PCTE,6,
28,PSOE,2896,izquierda
28,PP,2874,derecha
28,VOX,1692,derecha
28,CHA,687,izquierda
28,SALF,239,derecha
28,EXISTE,215,otros
28,PAR,179,centro
28,IU- MOVIMIENTO SUMAR,146,izquierda
28,ESCAÑOS EN BLANCO,47,
28,PODEMOS -AV,44,izquierda
28,PACMA,15,
28,COALICIÓN ARAGONESA,6,
28,PCTE,6,
28,MUNDO+JUSTO,3,
29,PP,2327,derecha
29,PSOE,2164,izquierda
29,VOX,1727,derecha
29,CHA,601,izquierda
29,EXISTE,247,otros
29,SALF,244,derecha
29,IU- MOVIMIENTO SUMAR,170,izquierda
29,PAR,99,centro
29,PODEMOS -AV,63,izquierda
29,ESCAÑOS EN BLANCO,29,
29,PACMA,21,
29,COALICIÓN ARAGONESA,4,
29,MUNDO+JUSTO,4,
29,PCTE,3,
29,ETXSBC,1,
30,PP,3384,derecha
30,PSOE,2495,izquierda
30,VOX,1947,derecha
30,EXISTE,794,otros
30,PAR,671,centro
30,CHA,663,izquierda
30,SALF,194,derecha
30,IU- MOVIMIENTO SUMAR,178,izquierda
30,ESCAÑOS EN BLANCO,48,
30,PODEMOS -AV,37,izquierda
30,PACMA,23,
30,PCTE,10,
30,COALICIÓN ARAGONESA,5,
30,MUNDO+JUSTO,4,
31,PP,3559,derecha
31,PSOE,1864,izquierda
31,VOX,1816,derecha
31,CHA,1022,izquierda
31,SALF,316,derecha
31,IU- MOVIMIENTO SUMAR,238,izquierda
31,EXISTE,233,otros
31,PODEMOS -AV,104,izquierda
31,ESCAÑOS EN BLANCO,60,
31,PAR,59,centro
31,PACMA,47,
31,MUNDO+JUSTO,9,
31,PCTE,9,
31,COALICIÓN ARAGONESA,8,
32,PP,2906,derecha
32,PSOE,2411,izquierda
32,VOX,1446,derecha
32,CHA,1098,izquierda
32,EXISTE,297,otros
32,IU- MOVIMIENTO SUMAR,199,izquierda
32,SALF,180,derecha
32,PAR,168,centro
32,PODEMOS -AV,108,izquierda
32,ESCAÑOS EN BLANCO,62,
32,PACMA,32,
32,MUNDO+JUSTO,11,
32,ETXSBC,6,
32,COALICIÓN ARAGONESA,5,
33,PP,4529,derecha
33,VOX,2439,derecha
33,PSOE,2130,izquierda
33,CHA,1263,izquierda
33,SALF,515,derecha
33,EXISTE,299,otros
33,IU- MOVIMIENTO SUMAR,235,izquierda
33,PODEMOS -AV,89,izquierda
33,ESCAÑOS EN BLANCO,86,
33,PAR,81,centro
33,PACMA,59,
33,MUNDO+JUSTO,11,
33,PCTE,5,
33,COALICIÓN ARAGONESA,4,
34,PP,2523,derecha
34,PSOE,2406,izquierda
34,VOX,1372,derecha
34,CHA,1040,izquierda
34,IU- MOVIMIENTO SUMAR,358,izquierda
34,EXISTE,221,otros
