district_id,total_votes,winner_party,winner_votes,winner_share,winner_bloc
0,8694,PP,2795,0.3214860823556476,derecha
1,8661,PP,2654,0.30643112804526035,derecha
2,9017,PP,3147,0.349007430409227,derecha
3,10222,PP,3543,0.3466053609861084,derecha
4,10021,PP,3925,0.3916774772976749,derecha
5,8135,PP,2931,0.3602950215119852,derecha
6,10862,PSOE,3192,0.29386853249861905,izquierda
7,8446,PP,3387,0.40101823348330573,derecha
8,9399,PP,3083,0.32801361847005,derecha
9,9040,PP,2968,0.32831858407079645,derecha
10,9115,PP,2937,0.3222161272627537,derecha
11,9069,PP,3356,0.3700518248980042,derecha
12,10631,PP,5189,0.4881008371743016,derecha
13,9898,PP,3240,0.32733885633461307,derecha
14,10545,PP,3993,0.3786628733997155,derecha
15,10638,PP,5593,0.5257567211881933,derecha
16,13579,PP,4162,0.3065026879740776,derecha
17,9678,PP,2878,0.2973754908038851,derecha
18,11010,PP,4088,0.3712988192552225,derecha
19,10069,PP,4066,0.40381368556957,derecha
20,10903,PP,4776,0.4380445748876456,derecha
21,10420,PP,3339,0.3204414587332054,derecha
22,9908,PP,3156,0.31853048041986276,derecha
23,6984,PP,2370,0.3393470790378007,derecha
24,8101,PP,2666,0.32909517343537836,derecha
25,10549,PP,3243,0.30742250450279646,derecha
26,9232,PP,3226,0.3494367417677643,derecha
27,6950,PSOE,2084,0.29985611510791366,izquierda
28,9049,PSOE,2896,0.3200353630235385,izquierda
29,7704,PP,2327,0.3020508826583593,derecha
30,10453,PP,3384,0.32373481297235246,derecha
31,9344,PP,3559,0.3808861301369863,derecha
32,8929,PP,2906,0.3254563780938515,derecha
33,11745,PP,4529,0.3856108982545764,derecha
34,8415,PP,2523,0.2998217468805704,derecha
35,10732,PP,3373,0.3142937010808796,derecha
36,7882,PP,2593,0.32897741689926413,derecha
37,13273,PP,3790,0.28554207790250885,derecha
38,9863,PP,3913,0.39673527324343505,derecha
39,10515,PSOE,3427,0.32591535901093677,izquierda
40,8354,PP,2620,0.31362221690208286,derecha
41,9787,PP,2890,0.2952896699703689,derecha
42,9694,PP,2993,0.3087476789766866,derecha
43,9956,PSOE,2972,0.2985134592205705,izquierda
44,8266,PP,2566,0.31042826034357607,derecha
45,10015,PP,3588,0.3582626060908637,derecha
46,8153,PSOE,2472,0.3032012756040721,izquierda
47,8425,PSOE,2406,0.28557863501483677,izquierda
48,10301,PP,3285,0.3189010775652849,derecha
49,10221,PP,3352,0.3279522551609432,derecha
50,9545,PP,2924,0.306338397066527,derecha
51,8774,PP,3214,0.3663095509459767,derecha
52,8498,PP,2882,0.33913862085196517,derecha
53,8832,PP,4021,0.455276268115942,derecha
54,10084,PP,3431,0.34024196747322494,derecha
55,9441,PP,3176,0.3364050418387883,derecha
56,10216,PP,4531,0.4435199686765858,derecha
57,7735,PP,2713,0.350743374272786,derecha
58,12649,PP,6115,0.48343742588346905,derecha
59,10339,PP,3399,0.32875519876196924,derecha
60,10400,PP,3330,0.32019230769230766,derecha
61,10391,PP,4963,0.4776248676739486,derecha
62,11873,PP,4469,0.3764002358291923,derecha
63,7948,PP,2586,0.3253648716658279,derecha
64,10250,PP,3080,0.30048780487804877,derecha
65,10196,PP,3152,0.30914083954491955,derecha
66,10168,PP,3268,0.32140047206923683,derecha
