district_id,district_pop,total_votes,winner_party,winner_votes,winner_share,winner_bloc
0,20766,8694,PP,2795,0.3214860823556476,derecha
1,19086,8661,PP,2654,0.3064311280452603,derecha
10,19915,9115,PP,2937,0.3222161272627537,derecha
11,19136,9069,PP,3356,0.3700518248980042,derecha
12,19301,10631,PP,5189,0.4881008371743016,derecha
13,19759,9898,PP,3240,0.327338856334613,derecha
14,21243,10545,PP,3993,0.3786628733997155,derecha
15,19479,10638,PP,5593,0.5257567211881933,derecha
16,27255,13579,PP,4162,0.3065026879740776,derecha
17,21103,9678,PP,2878,0.2973754908038851,derecha
18,21791,11010,PP,4088,0.3712988192552225,derecha
19,20177,10069,PP,4066,0.40381368556957,derecha
2,19546,9017,PP,3147,0.349007430409227,derecha
20,20271,10903,PP,4776,0.4380445748876456,derecha
21,19612,10420,PP,3339,0.3204414587332054,derecha
22,21925,9908,PP,3156,0.3185304804198627,derecha
23,18542,6984,PP,2370,0.3393470790378007,derecha
24,19465,8101,PP,2666,0.3290951734353783,derecha
25,19888,10549,PP,3243,0.3074225045027964,derecha
26,22794,9232,PP,3226,0.3494367417677643,derecha
27,20290,6950,PSOE,2084,0.2998561151079136,izquierda
28,19331,9049,PSOE,2896,0.3200353630235385,izquierda
29,18904,7704,PP,2327,0.3020508826583593,derecha
3,19437,10222,PP,3543,0.3466053609861084,derecha
30,21039,10453,PP,3384,0.3237348129723524,derecha
31,21300,9344,PP,3559,0.3808861301369863,derecha
32,18698,8929,PP,2906,0.3254563780938515,derecha
33,22240,11745,PP,4529,0.3856108982545764,derecha
34,20046,8415,PP,2523,0.2998217468805704,derecha
35,19583,10732,PP,3373,0.3142937010808796,derecha
36,18569,7882,PP,2593,0.3289774168992641,derecha
37,27220,13273,PP,3790,0.2855420779025088,derecha
38,19941,9863,PP,3913,0.396735273243435,derecha
39,22692,10515,PSOE,3427,0.3259153590109367,izquierda
4,20568,10021,PP,3925,0.3916774772976749,derecha
40,19074,8354,PP,2620,0.3136222169020828,derecha
41,20235,9787,PP,2890,0.2952896699703689,derecha
42,20184,9694,PP,2993,0.3087476789766866,derecha
43,19742,9956,PSOE,2972,0.2985134592205705,izquierda
44,19826,8266,PP,2566,0.310428260343576,derecha
45,19761,10015,PP,3588,0.3582626060908637,derecha
46,19578,8153,PSOE,2472,0.3032012756040721,izquierda
47,20728,8425,PSOE,2406,0.2855786350148367,izquierda
48,20145,10301,PP,3285,0.3189010775652849,derecha
49,22595,10221,PP,3352,0.3279522551609432,derecha
5,20546,8135,PP,2931,0.3602950215119852,derecha
50,21509,9545,PP,2924,0.306338397066527,derecha
51,19977,8774,PP,3214,0.3663095509459767,derecha
52,18926,8498,PP,2882,0.3391386208519651,derecha
53,18434,8832,PP,4021,0.455276268115942,derecha
54,19886,10084,PP,3431,0.3402419674732249,derecha
55,18953,9441,PP,3176,0.3364050418387883,derecha
56,19857,10216,PP,4531,0.4435199686765858,derecha
57,18840,7735,PP,2713,0.350743374272786,derecha
58,20187,12649,PP,6115,0.483437425883469,derecha
59,22718,10339,PP,3399,0.3287551987619692,derecha
6,19688,10862,PSOE,3192,0.293868532498619,izquierda
60,19655,10400,PP,3330,0.3201923076923076,derecha
61,19572,10391,PP,4963,0.4776248676739486,derecha
62,19958,11873,PP,4469,0.3764002358291923,derecha
63,18635,7948,PP,2586,0.3253648716658279,derecha
64,20374,10250,PP,3080,0.3004878048780487,derecha
65,21748,10196,PP,3152,0.3091408395449195,derecha
66,21081,10168,PP,3268,0.3214004720692368,derecha
7,22523,8446,PP,3387,0.4010182334833057,derecha
8,19301,9399,PP,3083,0.32801361847005,derecha
9,19473,9040,PP,2968,0.3283185840707964,derecha
