territory,district_id,province_code,province_name,dominant_municipality_code,dominant_municipality_name,dominant_population,district_population,dominant_population_share,naming_rule,base_name,district_name
aragon,0,22,Huesca,22125,Huesca,18345,18345,1.0,DOMINANT_MUNICIPALITY,Huesca — Huesca,Huesca — Huesca I
aragon,1,22,Huesca,22125,Huesca,18549,18549,1.0,DOMINANT_MUNICIPALITY,Huesca — Huesca,Huesca — Huesca II
aragon,2,22,Huesca,22199,Sabiñánigo,9665,21469,0.450183986213,RURAL_REFERENCE_MUNICIPALITY,Huesca — Entorno de Sabiñánigo,Huesca — Entorno de Sabiñánigo
aragon,3,22,Huesca,22158,Monzón,18465,21230,0.869759773905,DOMINANT_MUNICIPALITY,Huesca — Monzón,Huesca — Monzón
aragon,4,22,Huesca,22213,Sariñena,4119,21542,0.191207872992,RURAL_REFERENCE_MUNICIPALITY,Huesca — Entorno de Sariñena,Huesca — Entorno de Sariñena
aragon,5,22,Huesca,22112,Fraga,15400,21516,0.715746421268,DOMINANT_MUNICIPALITY,Huesca — Fraga,Huesca — Fraga
aragon,6,22,Huesca,22061,Binéfar,10169,21169,0.48037224243,RURAL_REFERENCE_MUNICIPALITY,Huesca — Entorno de Binéfar,Huesca — Entorno de Binéfar
aragon,7,22,Huesca,22125,Huesca,18139,21752,0.833900331004,DOMINANT_MUNICIPALITY,Huesca — Huesca,Huesca — Huesca III
aragon,8,22,Huesca,22117,Graus,3401,21474,0.158377572879,RURAL_REFERENCE_MUNICIPALITY,Huesca — Entorno de Graus,Huesca — Entorno de Graus
aragon,9,22,Huesca,22130,Jaca,14012,21572,0.649545707398,DOMINANT_MUNICIPALITY,Huesca — Jaca,Huesca — Jaca
aragon,10,22,Huesca,22048,Barbastro,17799,21469,0.829055847967,DOMINANT_MUNICIPALITY,Huesca — Barbastro,Huesca — Barbastro
aragon,11,44,Teruel,44216,Teruel,18367,18367,1.0,DOMINANT_MUNICIPALITY,Teruel — Teruel,Teruel — Teruel I
aragon,12,44,Teruel,44025,Andorra,7192,19552,0.367839607201,RURAL_REFERENCE_MUNICIPALITY,Teruel — Entorno de Andorra,Teruel — Entorno de Andorra
aragon,13,44,Teruel,44216,Teruel,18154,19569,0.927691757371,DOMINANT_MUNICIPALITY,Teruel — Teruel,Teruel — Teruel II
aragon,14,44,Teruel,44013,Alcañiz,16447,19785,0.831286328026,DOMINANT_MUNICIPALITY,Teruel — Alcañiz,Teruel — Alcañiz
aragon,15,44,Teruel,44076,Cella,2694,19556,0.137758232767,RURAL_REFERENCE_MUNICIPALITY,Teruel — Entorno de Cella,Teruel — Entorno de Cella
aragon,16,44,Teruel,44050,Calamocha,4628,19537,0.236883861391,RURAL_REFERENCE_MUNICIPALITY,Teruel — Entorno de Calamocha,Teruel — Entorno de Calamocha
aragon,17,44,Teruel,44051,Calanda,3803,19725,0.192801013942,RURAL_REFERENCE_MUNICIPALITY,Teruel — Entorno de Calanda,Teruel — Entorno de Calanda
