district_id,district_pop
0,20766
1,19086
10,19915
11,19136
12,19301
13,19759
14,21243
15,19479
16,27255
17,21103
18,21791
19,20177
2,19546
20,20271
21,19612
22,21925
23,18542
24,19465
25,19888
26,22794
27,20290
28,19331
29,18904
3,19437
30,21039
31,21300
32,18698
33,22240
34,20046
35,19583
36,18569
37,27220
38,19941
39,22692
4,20568
40,19074
41,20235
42,20184
43,19742
44,19826
45,19761
46,19578
47,20728
48,20145
49,22595
5,20546
50,21509
51,19977
52,18926
53,18434
54,19886
55,18953
56,19857
57,18840
58,20187
59,22718
6,19688
60,19655
61,19572
62,19958
63,18635
64,20374
65,21748
66,21081
7,22523
8,19301
9,19473
