district_id,CUSEC_KEY,CUSEC,CUMUN,NMUN,CPRO,NPRO,CUDIS,POP_2025
0,5029703036,5029703036,50297,Zaragoza,50,Zaragoza,5029703,1614
0,5029703038,5029703038,50297,Zaragoza,50,Zaragoza,5029703,1675
0,5029703039,5029703039,50297,Zaragoza,50,Zaragoza,5029703,1436
0,5029703053,5029703053,50297,Zaragoza,50,Zaragoza,5029703,1168
0,5029703054,5029703054,50297,Zaragoza,50,Zaragoza,5029703,2147
0,5029703055,5029703055,50297,Zaragoza,50,Zaragoza,5029703,1942
0,5029703056,5029703056,50297,Zaragoza,50,Zaragoza,5029703,1054
0,5029703057,5029703057,50297,Zaragoza,50,Zaragoza,5029703,1429
0,5029703062,5029703062,50297,Zaragoza,50,Zaragoza,5029703,1614
0,5029703066,5029703066,50297,Zaragoza,50,Zaragoza,5029703,1356
0,5029703069,5029703069,50297,Zaragoza,50,Zaragoza,5029703,1462
0,5029703074,5029703074,50297,Zaragoza,50,Zaragoza,5029703,1233
0,5029703075,5029703075,50297,Zaragoza,50,Zaragoza,5029703,1347
0,5029703089,5029703089,50297,Zaragoza,50,Zaragoza,5029703,1289
1,2200601001,2200601001,22006,Aisa,22,Huesca,2200601,327
1,2202801001,2202801001,22028,Ansó,22,Huesca,2202801,409
1,2203201001,2203201001,22032,Aragüés del Puerto,22,Huesca,2203201,123
1,2204401001,2204401001,22044,Bailo,22,Huesca,2204401,263
1,2205901001,2205901001,22059,Biescas,22,Huesca,2205901,1646
1,2207201001,2207201001,22072,Caldearenas,22,Huesca,2207201,222
1,2207601001,2207601001,22076,Canal de Berdún,22,Huesca,2207601,321
1,2207801001,2207801001,22078,Canfranc,22,Huesca,2207801,632
1,2208601001,2208601001,22086,Castiello de Jaca,22,Huesca,2208601,280
1,2210601001,2210601001,22106,Fago,22,Huesca,2210601,23
1,2212201001,2212201001,22122,Hoz de Jaca,22,Huesca,2212201,82
1,2213101001,2213101001,22131,Jasa,22,Huesca,2213101,90
1,2217001001,2217001001,22170,Panticosa,22,Huesca,2217001,919
1,2219901001,2219901001,22199,Sabiñánigo,22,Huesca,2219901,1427
1,2219901002,2219901002,22199,Sabiñánigo,22,Huesca,2219901,1593
1,2219901003,2219901003,22199,Sabiñánigo,22,Huesca,2219901,1243
1,2219901004,2219901004,22199,Sabiñánigo,22,Huesca,2219901,1945
1,2219901005,2219901005,22199,Sabiñánigo,22,Huesca,2219901,1200
1,2219901006,2219901006,22199,Sabiñánigo,22,Huesca,2219901,1005
1,2219901007,2219901007,22199,Sabiñánigo,22,Huesca,2219901,1252
1,2220401001,2220401001,22204,Sallent de Gállego,22,Huesca,2220401,1540
1,2220801001,2220801001,22208,Santa Cilia,22,Huesca,2220801,242
1,2220901001,2220901001,22209,Santa Cruz de la Serós,22,Huesca,2220901,194
