district_id,total_votes,winner_party,winner_votes,winner_share,winner_bloc
0,7587,PP,2352,0.310003954132068,derecha
1,8425,PP,2909,0.3452818991097923,derecha
2,10275,PP,3369,0.3278832116788321,derecha
3,8983,PP,2885,0.321162195257709,derecha
4,10713,PP,3717,0.3469616353962475,derecha
5,7956,PP,2918,0.36676721970839615,derecha
6,8901,PP,2980,0.3347938433883833,derecha
7,11116,PP,3859,0.34715725080964377,derecha
8,10240,PP,3195,0.31201171875,derecha
9,9434,PP,3031,0.3212847148611406,derecha
10,10093,PP,3326,0.3295353215099574,derecha
11,9357,PP,2984,0.3189056321470557,derecha
12,9795,PSOE,2907,0.2967840735068913,izquierda
13,8911,PP,2616,0.2935697452586691,derecha
14,8927,PP,2560,0.2867704716030021,derecha
15,10009,PP,2807,0.2804475971625537,derecha
16,9717,PP,2954,0.3040032931974889,derecha
17,9633,PP,3065,0.3181770995536178,derecha
18,9060,PP,2688,0.29668874172185433,derecha
19,10631,PP,3147,0.2960210704543317,derecha
20,11976,PP,3930,0.3281563126252505,derecha
21,11136,PP,5586,0.5016163793103449,derecha
22,9593,PP,4295,0.44772229750860004,derecha
23,12076,PP,7128,0.5902616760516728,derecha
24,10383,PP,4710,0.4536261196186073,derecha
25,10259,PP,4357,0.42470026318354615,derecha
26,11033,PP,4624,0.41910631741140214,derecha
27,10099,PP,3945,0.39063273591444697,derecha
28,7085,PSOE,2278,0.3215243472124206,izquierda
29,7663,PP,2463,0.3214145895863239,derecha
30,7833,PSOE,2319,0.29605515128303334,izquierda
31,7850,PP,2512,0.32,derecha
32,7914,PP,2490,0.3146322971948446,derecha
33,8060,PP,2993,0.37133995037220846,derecha
34,10702,PP,4899,0.45776490375630724,derecha
35,8023,PP,2402,0.2993892558893182,derecha
36,9287,PP,3419,0.3681490255195434,derecha
37,9823,PP,3183,0.3240354270589433,derecha
38,9787,PP,2840,0.2901808521508123,derecha
39,8326,PSOE,2647,0.3179197693970694,izquierda
40,9740,PP,3328,0.34168377823408624,derecha
41,11293,PP,4424,0.3917470999734349,derecha
42,10236,PP,3490,0.3409534974599453,derecha
43,11885,PP,5479,0.4610012620950778,derecha
44,10409,PP,3380,0.32471899317897973,derecha
45,9055,PP,3487,0.385091109884042,derecha
46,8553,PP,3480,0.40687478077867417,derecha
47,10996,PP,3343,0.3040196435067297,derecha
48,10014,PP,3174,0.316956261234272,derecha
49,9972,PP,4137,0.4148616125150421,derecha
50,10457,PP,3369,0.3221765324662905,derecha
51,9737,PP,3101,0.3184759166067577,derecha
52,8810,PSOE,2787,0.3163450624290579,izquierda
53,8004,PP,2876,0.35932033983008493,derecha
54,10875,PP,3898,0.3584367816091954,derecha
55,10261,PP,3416,0.3329110223175129,derecha
56,13937,PP,4352,0.31226232331204706,derecha
57,9886,PP,3375,0.3413918672870726,derecha
58,10324,PP,3372,0.3266175900813638,derecha
59,7462,PP,2719,0.36437952291610826,derecha
60,9355,PP,3366,0.35980758952431857,derecha
61,8280,PSOE,2663,0.3216183574879227,izquierda
62,10771,PP,3343,0.3103704391421409,derecha
63,10179,PP,3371,0.3311720208271932,derecha
64,9871,PP,3527,0.3573092898389221,derecha
65,10481,PP,3592,0.3427153897528862,derecha
66,8677,PP,2679,0.30874726287887516,derecha
