CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
2201901001,22019,Alerre,22,Huesca,224,7
2202001001,22020,Alfántega,22,Huesca,128,6
2202101001,22021,Almudévar,22,Huesca,978,4
2202101002,22021,Almudévar,22,Huesca,1473,4
2202201001,22022,Almunia de San Juan,22,Huesca,737,3
2202301001,22023,Almuniente,22,Huesca,450,4
2202401001,22024,Alquézar,22,Huesca,325,10
2202501001,22025,Altorricón,22,Huesca,1496,6
2202701001,22027,Angüés,22,Huesca,349,8
2202801001,22028,Ansó,22,Huesca,409,2
2202901001,22029,Antillón,22,Huesca,127,2
2203201001,22032,Aragüés del Puerto,22,Huesca,123,2
2203501001,22035,Arén,22,Huesca,307,8
2203601001,22036,Argavieso,22,Huesca,109,4
2203701001,22037,Arguis,22,Huesca,168,2
2203901001,22039,Ayerbe,22,Huesca,1051,7
2204001001,22040,Azanuy-Alins,22,Huesca,184,3
2204101001,22041,Azara,22,Huesca,167,2
2204201001,22042,Azlor,22,Huesca,155,2
2200101001,22001,Abiego,22,Huesca,259,10
2200201001,22002,Abizanda,22,Huesca,161,2
2200301001,22003,Adahuesca,22,Huesca,196,2
2200401001,22004,Agüero,22,Huesca,144,7
2200601001,22006,Aisa,22,Huesca,327,2
2200701001,22007,Albalate de Cinca,22,Huesca,1111,6
2200801001,22008,Albalatillo,22,Huesca,223,4
2200901001,22009,Albelda,22,Huesca,727,8
2201101001,22011,Albero Alto,22,Huesca,123,4
2201201001,22012,Albero Bajo,22,Huesca,109,4
2201301001,22013,Alberuela de Tubo,22,Huesca,270,10
2201401001,22014,Alcalá de Gurrea,22,Huesca,264,4
2201501001,22015,Alcalá del Obispo,22,Huesca,394,2
2201601001,22016,Alcampell,22,Huesca,648,6
2201701001,22017,Alcolea de Cinca,22,Huesca,1138,4
2201801001,22018,Alcubierre,22,Huesca,399,4
2204301001,22043,Baélls,22,Huesca,91,3
2204401001,22044,Bailo,22,Huesca,263,7
2204501001,22045,Baldellou,22,Huesca,81,8
2204601001,22046,Ballobar,22,Huesca,870,5
2204701001,22047,Banastás,22,Huesca,337,7
2204801002,22048,Barbastro,22,Huesca,1815,10
2204801003,22048,Barbastro,22,Huesca,1058,10
2204801004,22048,Barbastro,22,Huesca,1226,10
2204801005,22048,Barbastro,22,Huesca,2405,10
2204801006,22048,Barbastro,22,Huesca,1346,10
2204801007,22048,Barbastro,22,Huesca,1725,10
2204801008,22048,Barbastro,22,Huesca,1275,10
2204801009,22048,Barbastro,22,Huesca,970,10
2204801010,22048,Barbastro,22,Huesca,2626,10
2204801011,22048,Barbastro,22,Huesca,2041,10
2204801012,22048,Barbastro,22,Huesca,1312,10
2204901001,22049,Barbués,22,Huesca,97,4
2205001001,22050,Barbuñales,22,Huesca,93,2
2205101001,22051,Bárcabo,22,Huesca,116,2
2205201001,22052,Belver de Cinca,22,Huesca,1284,6
2205301001,22053,Benabarre,22,Huesca,1146,8
2205401001,22054,Benasque,22,Huesca,2366,9
2205501001,22055,Berbegal,22,Huesca,321,10
2205701001,22057,Bielsa,22,Huesca,478,9
2205801001,22058,Bierge,22,Huesca,241,8
2205901001,22059,Biescas,22,Huesca,1646,2
2206001001,22060,Binaced,22,Huesca,1680,6
2206101001,22061,Binéfar,22,Huesca,2361,6
2206101002,22061,Binéfar,22,Huesca,2507,6
2206101003,22061,Binéfar,22,Huesca,2331,6
2206101004,22061,Binéfar,22,Huesca,2970,6
2206201001,22062,Bisaurri,22,Huesca,176,8
2206301001,22063,Biscarrués,22,Huesca,190,7
2206401001,22064,Blecua y Torres,22,Huesca,175,2
2206601001,22066,Boltaña,22,Huesca,1091,8
2206701001,22067,Bonansa,22,Huesca,85,8
2206801001,22068,Borau,22,Huesca,77,2
2206901001,22069,Broto,22,Huesca,617,2
2207201001,22072,Caldearenas,22,Huesca,222,2
2207401001,22074,Campo,22,Huesca,496,8
2207501001,22075,Camporrélls,22,Huesca,152,8
2207601001,22076,Canal de Berdún,22,Huesca,321,7
2207701001,22077,Candasnos,22,Huesca,475,5
2207801001,22078,Canfranc,22,Huesca,632,9
2207901001,22079,Capdesaso,22,Huesca,192,4
2208001001,22080,Capella,22,Huesca,358,8
2208101001,22081,Casbas de Huesca,22,Huesca,287,8
2208201001,22082,Castejón del Puente,22,Huesca,359,3
2208301001,22083,Castejón de Monegros,22,Huesca,458,4
2208401001,22084,Castejón de Sos,22,Huesca,834,8
2208501001,22085,Castelflorite,22,Huesca,102,10
2208601001,22086,Castiello de Jaca,22,Huesca,280,2
2208701001,22087,Castigaleu,22,Huesca,80,8
2208801001,22088,Castillazuelo,22,Huesca,168,10
2208901001,22089,Castillonroy,22,Huesca,339,8
2209001001,22090,Colungo,22,Huesca,127,2
2209401001,22094,Chalamera,22,Huesca,119,6
2209501001,22095,Chía,22,Huesca,90,8
2209601001,22096,Chimillas,22,Huesca,407,2
2209901001,22099,Esplús,22,Huesca,675,6
2210201001,22102,Estada,22,Huesca,215,8
2210301001,22103,Estadilla,22,Huesca,810,8
2210501001,22105,Estopiñán del Castillo,22,Huesca,146,8
2210601001,22106,Fago,22,Huesca,23,2
2210701001,22107,Fanlo,22,Huesca,113,9
2210901001,22109,Fiscal,22,Huesca,365,2
2211001001,22110,Fonz,22,Huesca,886,8
2211101001,22111,Foradada del Toscar,22,Huesca,163,8
2211201001,22112,Fraga,22,Huesca,1099,5
2211201002,22112,Fraga,22,Huesca,1355,5
2211201003,22112,Fraga,22,Huesca,976,5
2211201004,22112,Fraga,22,Huesca,988,5
2211201005,22112,Fraga,22,Huesca,2342,5
2211201006,22112,Fraga,22,Huesca,1501,5
2211201007,22112,Fraga,22,Huesca,859,5
2211201008,22112,Fraga,22,Huesca,2908,5
2211201009,22112,Fraga,22,Huesca,1590,5
2211201010,22112,Fraga,22,Huesca,1782,5
2211301001,22113,"Fueva, La",22,Huesca,614,8
2211401001,22114,Gistaín,22,Huesca,114,9
2211501001,22115,"Grado, El",22,Huesca,382,8
2211601001,22116,Grañén,22,Huesca,1733,4
2211701001,22117,Graus,22,Huesca,1681,8
2211701002,22117,Graus,22,Huesca,1720,8
2211901001,22119,Gurrea de Gállego,22,Huesca,1429,4
2212201001,22122,Hoz de Jaca,22,Huesca,82,2
2212401001,22124,Huerto,22,Huesca,215,10
2212501001,22125,Huesca,22,Huesca,1783,1
2212501002,22125,Huesca,22,Huesca,1418,1
2212501003,22125,Huesca,22,Huesca,1249,1
2212502001,22125,Huesca,22,Huesca,1543,1
2212502002,22125,Huesca,22,Huesca,1923,1
2212502003,22125,Huesca,22,Huesca,956,1
2212502004,22125,Huesca,22,Huesca,2059,1
2212502005,22125,Huesca,22,Huesca,1458,0
2212502006,22125,Huesca,22,Huesca,1176,0
2212503001,22125,Huesca,22,Huesca,1453,0
2212503002,22125,Huesca,22,Huesca,1141,0
2212503003,22125,Huesca,22,Huesca,1807,1
2212503004,22125,Huesca,22,Huesca,1726,0
2212503005,22125,Huesca,22,Huesca,1544,1
2212503006,22125,Huesca,22,Huesca,2305,0
2212503007,22125,Huesca,22,Huesca,1211,0
2212504001,22125,Huesca,22,Huesca,2305,7
2212504002,22125,Huesca,22,Huesca,1309,0
2212504003,22125,Huesca,22,Huesca,1750,0
2212504004,22125,Huesca,22,Huesca,1568,0
2212505001,22125,Huesca,22,Huesca,2139,1
2212505002,22125,Huesca,22,Huesca,1656,7
2212506001,22125,Huesca,22,Huesca,1788,7
2212506002,22125,Huesca,22,Huesca,778,7
2212506003,22125,Huesca,22,Huesca,1019,7
2212506004,22125,Huesca,22,Huesca,808,7
2212507001,22125,Huesca,22,Huesca,2034,7
2212507002,22125,Huesca,22,Huesca,2583,7
2212507003,22125,Huesca,22,Huesca,1420,7
2212507004,22125,Huesca,22,Huesca,987,7
2212508002,22125,Huesca,22,Huesca,1693,7
2212508003,22125,Huesca,22,Huesca,1068,7
2212508004,22125,Huesca,22,Huesca,2128,1
2212601001,22126,Ibieca,22,Huesca,111,8
2212701001,22127,Igriés,22,Huesca,729,2
2212801001,22128,Ilche,22,Huesca,187,3
2212901001,22129,Isábena,22,Huesca,235,8
2213001001,22130,Jaca,22,Huesca,1461,9
2213001002,22130,Jaca,22,Huesca,1426,9
2213001003,22130,Jaca,22,Huesca,1208,9
2213001004,22130,Jaca,22,Huesca,1641,9
2213001005,22130,Jaca,22,Huesca,1562,9
2213001006,22130,Jaca,22,Huesca,1955,9
2213001007,22130,Jaca,22,Huesca,1954,9
2213001008,22130,Jaca,22,Huesca,2805,9
2213101001,22131,Jasa,22,Huesca,90,2
2213301001,22133,Labuerda,22,Huesca,176,8
2213501001,22135,Laluenga,22,Huesca,201,2
2213601001,22136,Lalueza,22,Huesca,848,4
