district_id,party,votes,bloc
0,PP,2352,derecha
0,PSOE,2133,izquierda
0,VOX,1425,derecha
0,CHA,821,izquierda
0,IU- MOVIMIENTO SUMAR,243,izquierda
0,SALF,191,derecha
0,EXISTE,162,otros
0,ESCAÑOS EN BLANCO,66,
0,PODEMOS -AV,61,izquierda
0,PAR,60,centro
0,PACMA,52,
0,MUNDO+JUSTO,11,
0,COALICIÓN ARAGONESA,7,
0,ETXSBC,3,
1,PP,2909,derecha
1,PSOE,2157,izquierda
1,VOX,1484,derecha
1,CHA,939,izquierda
1,IU- MOVIMIENTO SUMAR,274,izquierda
1,SALF,199,derecha
1,EXISTE,185,otros
1,PAR,86,centro
1,ESCAÑOS EN BLANCO,62,
1,PODEMOS -AV,59,izquierda
1,PACMA,51,
1,MUNDO+JUSTO,9,
1,COALICIÓN ARAGONESA,8,
1,ETXSBC,3,
2,PP,3369,derecha
2,PSOE,2643,izquierda
2,VOX,1769,derecha
2,CHA,1215,izquierda
2,IU- MOVIMIENTO SUMAR,353,izquierda
2,SALF,263,derecha
2,EXISTE,258,otros
2,PAR,141,centro
2,PODEMOS -AV,133,izquierda
2,ESCAÑOS EN BLANCO,70,
2,PACMA,43,
2,MUNDO+JUSTO,8,
2,COALICIÓN ARAGONESA,7,
2,ETXSBC,3,
3,PP,2885,derecha
3,PSOE,2240,izquierda
3,VOX,2139,derecha
3,CHA,808,izquierda
3,IU- MOVIMIENTO SUMAR,310,izquierda
3,SALF,224,derecha
3,EXISTE,168,otros
3,PAR,75,centro
3,ESCAÑOS EN BLANCO,45,
3,PODEMOS -AV,44,izquierda
3,PACMA,34,
3,COALICIÓN ARAGONESA,4,
3,ETXSBC,4,
3,MUNDO+JUSTO,3,
4,PP,3717,derecha
4,PSOE,3117,izquierda
4,VOX,2167,derecha
4,CHA,764,izquierda
4,SALF,249,derecha
4,EXISTE,205,otros
4,IU- MOVIMIENTO SUMAR,167,izquierda
4,PAR,157,centro
4,PODEMOS -AV,61,izquierda
4,ESCAÑOS EN BLANCO,52,
4,PACMA,36,
4,MUNDO+JUSTO,11,
4,COALICIÓN ARAGONESA,7,
4,ETXSBC,3,
5,PP,2918,derecha
5,PSOE,2051,izquierda
5,VOX,1813,derecha
5,CHA,363,izquierda
5,SALF,212,derecha
5,ETXSBC,186,
5,EXISTE,156,otros
5,IU- MOVIMIENTO SUMAR,87,izquierda
5,PAR,64,centro
5,PODEMOS -AV,40,izquierda
5,ESCAÑOS EN BLANCO,35,
5,PACMA,21,
5,MUNDO+JUSTO,6,
5,COALICIÓN ARAGONESA,4,
6,PP,2980,derecha
6,PSOE,2677,izquierda
6,VOX,1848,derecha
6,CHA,651,izquierda
6,EXISTE,175,otros
6,SALF,175,derecha
6,IU- MOVIMIENTO SUMAR,134,izquierda
6,PAR,87,centro
6,PODEMOS -AV,59,izquierda
6,ESCAÑOS EN BLANCO,49,
6,COALICIÓN ARAGONESA,34,
6,PACMA,18,
6,ETXSBC,8,
6,MUNDO+JUSTO,6,
7,PP,3859,derecha
7,PSOE,3089,izquierda
7,VOX,1822,derecha
7,CHA,1199,izquierda
7,IU- MOVIMIENTO SUMAR,330,izquierda
7,EXISTE,261,otros
7,SALF,233,derecha
7,PAR,99,centro
7,ESCAÑOS EN BLANCO,85,
7,PODEMOS -AV,73,izquierda
7,PACMA,44,
7,MUNDO+JUSTO,11,
7,COALICIÓN ARAGONESA,8,
7,ETXSBC,3,
8,PP,3195,derecha
8,PSOE,2880,izquierda
8,VOX,1622,derecha
8,CHA,1221,izquierda
8,IU- MOVIMIENTO SUMAR,300,izquierda
8,EXISTE,286,otros
8,PAR,266,centro
8,SALF,203,derecha
8,PODEMOS -AV,137,izquierda
8,ESCAÑOS EN BLANCO,70,
8,PACMA,37,
8,MUNDO+JUSTO,9,
8,COALICIÓN ARAGONESA,8,
8,ETXSBC,6,
9,PP,3031,derecha
9,PSOE,2435,izquierda
9,VOX,1540,derecha
9,CHA,1317,izquierda
9,SALF,274,derecha
9,IU- MOVIMIENTO SUMAR,267,izquierda
9,EXISTE,193,otros
9,PAR,154,centro
9,PODEMOS -AV,95,izquierda
9,ESCAÑOS EN BLANCO,67,
9,PACMA,41,
9,MUNDO+JUSTO,12,
9,COALICIÓN ARAGONESA,6,
9,ETXSBC,2,
10,PP,3326,derecha
10,PSOE,2644,izquierda
10,VOX,2092,derecha
10,CHA,1056,izquierda
10,EXISTE,262,otros
10,IU- MOVIMIENTO SUMAR,198,izquierda
10,SALF,181,derecha
10,PAR,165,centro
10,PODEMOS -AV,62,izquierda
10,ESCAÑOS EN BLANCO,53,
10,PACMA,38,
10,COALICIÓN ARAGONESA,6,
10,MUNDO+JUSTO,6,
10,ETXSBC,4,
11,PP,2984,derecha
11,VOX,2124,derecha
11,EXISTE,1669,otros
11,PSOE,1587,izquierda
11,CHA,311,izquierda
11,SALF,254,derecha
11,PAR,164,centro
11,IU- MOVIMIENTO SUMAR,127,izquierda
11,ESCAÑOS EN BLANCO,74,
11,PODEMOS -AV,31,izquierda
11,PACMA,28,
11,COALICIÓN ARAGONESA,4,
12,PSOE,2907,izquierda
12,PP,2301,derecha
12,VOX,1901,derecha
12,EXISTE,1390,otros
12,CHA,451,izquierda
12,IU- MOVIMIENTO SUMAR,300,izquierda
12,PAR,245,centro
12,SALF,158,derecha
12,PODEMOS -AV,74,izquierda
12,ESCAÑOS EN BLANCO,33,
12,PACMA,30,
12,COALICIÓN ARAGONESA,5,
13,PP,2616,derecha
13,VOX,2188,derecha
13,PSOE,1654,izquierda
13,EXISTE,1367,otros
13,CHA,357,izquierda
13,PAR,249,centro
13,SALF,239,derecha
13,IU- MOVIMIENTO SUMAR,134,izquierda
13,ESCAÑOS EN BLANCO,44,
13,PODEMOS -AV,29,izquierda
13,PACMA,28,
13,COALICIÓN ARAGONESA,6,
14,PP,2560,derecha
14,PSOE,2303,izquierda
14,VOX,1987,derecha
14,EXISTE,898,otros
14,CHA,340,izquierda
14,IU- MOVIMIENTO SUMAR,258,izquierda
14,SALF,235,derecha
14,PAR,214,centro
14,PODEMOS -AV,72,izquierda
14,ESCAÑOS EN BLANCO,34,
14,PACMA,23,
14,COALICIÓN ARAGONESA,3,
15,PP,2807,derecha
15,PSOE,2548,izquierda
15,VOX,1951,derecha
15,EXISTE,1114,otros
15,PAR,779,centro
15,CHA,324,izquierda
15,SALF,228,derecha
15,IU- MOVIMIENTO SUMAR,138,izquierda
15,ESCAÑOS EN BLANCO,51,
15,PODEMOS -AV,47,izquierda
15,PACMA,21,
15,COALICIÓN ARAGONESA,1,
16,PP,2954,derecha
16,PSOE,2235,izquierda
16,VOX,1882,derecha
16,EXISTE,1117,otros
16,PAR,877,centro
16,CHA,349,izquierda
16,SALF,158,derecha
16,IU- MOVIMIENTO SUMAR,78,izquierda
16,ESCAÑOS EN BLANCO,27,
16,PODEMOS -AV,24,izquierda
16,COALICIÓN ARAGONESA,8,
16,PACMA,8,
17,PP,3065,derecha
17,PSOE,2604,izquierda
17,VOX,1600,derecha
17,EXISTE,1077,otros
17,CHA,467,izquierda
17,PAR,371,centro
17,IU- MOVIMIENTO SUMAR,168,izquierda
17,SALF,166,derecha
17,PODEMOS -AV,50,izquierda
17,ESCAÑOS EN BLANCO,30,
17,PACMA,29,
17,COALICIÓN ARAGONESA,6,
18,PP,2688,derecha
18,PSOE,2383,izquierda
18,VOX,1536,derecha
18,CHA,1233,izquierda
18,IU- MOVIMIENTO SUMAR,333,izquierda
18,SALF,300,derecha
18,EXISTE,257,otros
18,PODEMOS -AV,125,izquierda
18,PAR,80,centro
18,ESCAÑOS EN BLANCO,63,
18,PACMA,35,
18,MUNDO+JUSTO,12,
18,PCTE,9,
18,COALICIÓN ARAGONESA,6,
19,PP,3147,derecha
19,PSOE,2856,izquierda
19,CHA,1590,izquierda
19,VOX,1588,derecha
19,IU- MOVIMIENTO SUMAR,464,izquierda
19,EXISTE,320,otros
19,SALF,266,derecha
19,PODEMOS -AV,176,izquierda
19,PAR,81,centro
19,ESCAÑOS EN BLANCO,68,
19,PACMA,50,
19,PCTE,11,
19,MUNDO+JUSTO,9,
19,COALICIÓN ARAGONESA,5,
20,PP,3930,derecha
20,PSOE,3176,izquierda
20,VOX,1835,derecha
20,CHA,1576,izquierda
20,IU- MOVIMIENTO SUMAR,437,izquierda
20,EXISTE,315,otros
20,SALF,303,derecha
20,PODEMOS -AV,168,izquierda
20,ESCAÑOS EN BLANCO,85,
20,PAR,77,centro
20,PACMA,51,
20,MUNDO+JUSTO,11,
20,COALICIÓN ARAGONESA,6,
20,PCTE,6,
21,PP,5586,derecha
21,PSOE,2047,izquierda
21,VOX,1656,derecha
21,CHA,876,izquierda
21,EXISTE,256,otros
21,IU- MOVIMIENTO SUMAR,245,izquierda
21,SALF,211,derecha
21,PAR,73,centro
21,PODEMOS -AV,60,izquierda
21,ESCAÑOS EN BLANCO,56,
21,PACMA,40,
21,COALICIÓN ARAGONESA,14,
21,MUNDO+JUSTO,9,
21,PCTE,7,
22,PP,4295,derecha
22,PSOE,1962,izquierda
22,VOX,1436,derecha
22,CHA,882,izquierda
22,IU- MOVIMIENTO SUMAR,300,izquierda
22,SALF,216,derecha
22,EXISTE,203,otros
22,ESCAÑOS EN BLANCO,83,
22,PODEMOS -AV,77,izquierda
22,PAR,70,centro
22,PACMA,39,
22,PCTE,14,
22,MUNDO+JUSTO,10,
22,COALICIÓN ARAGONESA,6,
23,PP,7128,derecha
23,VOX,2154,derecha
23,PSOE,1244,izquierda
23,CHA,644,izquierda
23,SALF,277,derecha
23,IU- MOVIMIENTO SUMAR,198,izquierda
23,EXISTE,186,otros
23,ESCAÑOS EN BLANCO,69,
23,PODEMOS -AV,57,izquierda
23,PAR,55,centro
23,PACMA,37,
23,MUNDO+JUSTO,16,
23,PCTE,10,
23,COALICIÓN ARAGONESA,1,
24,PP,4710,derecha
24,PSOE,2092,izquierda
24,VOX,1344,derecha
