district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance,section_count,municipality_count,municipality_codes,municipality_names,province_count,province_codes,province_names,area_km2,perimeter_km,polsby_popper,centroid_x,centroid_y,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,metric_crs
0,29958,29283.182926829268,674.8170731707323,674.8170731707323,0.023044526097347997,1.023044526097348,23426.546341463414,51245.57012195122,True,True,20,1,05019,Ávila,1,05,Ávila,78.4588857943849,104.92520123361552,0.08955552388214624,3078080.0136233326,2071630.6951439474,3072472.322577093,2061420.1137934367,3083008.626645556,2084010.6171444678,EPSG:3035
1,25774,29283.182926829268,-3509.1829268292677,3509.1829268292677,-0.11983611670895764,0.8801638832910423,23426.546341463414,51245.57012195122,True,True,63,58,05007 | 05013 | 05014 | 05018 | 05025 | 05038 | 05047 | 05052 | 05054 | 05058 | 05063 | 05066 | 05081 | 05082 | 05089 | 05100 | 05101 | 05103 | 05104 | 05105 | 05106 | 05110 | 05113 | 05116 | 05126 | 05127 | 05132 | 05151 | 05154 | 05155 | 05157 | 05160 | 05162 | 05164 | 05165 | 05166 | 05167 | 05169 | 05181 | 05182 | 05189 | 05200 | 05207 | 05212 | 05214 | 05215 | 05216 | 05217 | 05221 | 05226 | 05233 | 05244 | 05246 | 05257 | 05262 | 05267 | 05904 | 05905,"Aldeanueva de Santa Cruz | Arenal, El | Arenas de San Pedro | Avellaneda | Becedillas | Bonilla de la Sierra | Candeleda | Casas del Puerto | Casavieja | Cepeda la Mora | Collado del Mirón | Cuevas del Valle | Garganta del Villar | Gavilanes | Guisando | Hornillo, El | Hoyocasero | Hoyorredondo | Hoyos de Miguel Muñoz | Hoyos del Collado | Hoyos del Espino | Lanzahíta | Llanos de Tormes, Los | Malpartida de Corneja | Mesegar de Corneja | Mijares | Mombeltrán | Navacepedilla de Corneja | Navadijos | Navaescurial | Navalacruz | Navalosa | Navalperal de Tormes | Navaquesera | Navarredonda de Gredos | Navarredondilla | Navarrevisca | Navatalgordo | Pascualcobo | Pedro Bernardo | Poyales del Hoyo | San Bartolomé de Corneja | San Esteban del Valle | San Juan del Molinillo | San Lorenzo de Tormes | San Martín de la Vega del Alberche | San Martín del Pimpollar | San Miguel de Corneja | Santa Cruz del Valle | Santa María de los Caballeros | Santiago del Tormes | Serranillos | Tormellas | Tórtoles | Villafranca de la Sierra | Villanueva de Ávila | Villarejo del Valle | Zapardiel de la Ribera",1,05,Ávila,2073.8393649531617,418.9342090817125,0.14848867349073006,3039551.419000919,2043305.6766095122,3004939.1621871553,2017325.1864824528,3071003.1242536306,2082639.8509974396,EPSG:3035
2,27604,29283.182926829268,-1679.1829268292677,1679.1829268292677,-0.05734291012780579,0.9426570898721942,23426.546341463414,51245.57012195122,True,True,17,1,05019,Ávila,1,05,Ávila,136.48471765200728,116.3015417266487,0.12680107804709992,3089632.7947647017,2071743.4700244258,3079565.071563959,2064212.8389829034,3101530.642745064,2080158.6261990839,EPSG:3035
3,25810,29283.182926829268,-3473.1829268292677,3473.1829268292677,-0.11860674215326285,0.8813932578467372,23426.546341463414,51245.57012195122,True,True,139,137,05005 | 05008 | 05010 | 05012 | 05015 | 05017 | 05021 | 05023 | 05024 | 05026 | 05027 | 05029 | 05030 | 05033 | 05034 | 05035 | 05036 | 05037 | 05040 | 05042 | 05043 | 05044 | 05045 | 05046 | 05048 | 05049 | 05051 | 05056 | 05059 | 05060 | 05061 | 05062 | 05064 | 05065 | 05067 | 05069 | 05073 | 05074 | 05076 | 05077 | 05078 | 05080 | 05083 | 05084 | 05085 | 05086 | 05087 | 05088 | 05092 | 05094 | 05096 | 05097 | 05099 | 05108 | 05109 | 05112 | 05114 | 05117 | 05118 | 05121 | 05122 | 05123 | 05124 | 05128 | 05129 | 05130 | 05131 | 05133 | 05134 | 05135 | 05136 | 05138 | 05139 | 05140 | 05142 | 05143 | 05144 | 05147 | 05149 | 05152 | 05153 | 05159 | 05170 | 05171 | 05172 | 05173 | 05175 | 05176 | 05177 | 05179 | 05180 | 05183 | 05185 | 05186 | 05190 | 05191 | 05192 | 05193 | 05194 | 05196 | 05198 | 05199 | 05206 | 05208 | 05209 | 05210 | 05213 | 05218 | 05219 | 05220 | 05224 | 05225 | 05228 | 05229 | 05230 | 05231 | 05232 | 05234 | 05236 | 05237 | 05242 | 05243 | 05247 | 05249 | 05253 | 05254 | 05256 | 05258 | 05259 | 05260 | 05261 | 05263 | 05264 | 05265 | 05266 | 05901 | 05903,"Albornos | Aldeaseca | Aldehuela, La | Amavida | Arevalillo | Aveinte | Barco de Ávila, El | Barromán | Becedas | Bercial de Zapardiel | Berlanas, Las | Bernuy-Zapardiel | Berrocalejo de Aragona | Blascomillán | Blasconuño de Matacabras | Blascosancho | Bohodón, El | Bohoyo | Bularros | Cabezas de Alambre | Cabezas del Pozo | Cabezas del Villar | Cabizuela | Canales | Cantiveros | Cardeñosa | Carrera, La | Castellanos de Zapardiel | Chamartín | Cillán | Cisla | Colilla, La | Collado de Contreras | Constanzana | Crespos | Diego del Carpio | Donjimeno | Flores de Ávila | Fontiveros | Fresno, El | Fuente el Saúz | Fuentes de Año | Gallegos de Sobrinos | Gemuño | Gil García | Gilbuena | Gimialcón | Gotarrendura | Grandes y San Martín | Hernansancho | Herreros de Suso | Hija de Dios, La | Horcajada, La | Horcajo de las Torres | Junciana | Langa | Losar del Barco, El | Madrigal de las Altas Torres | Mamblas | Mancera de Arriba | Martiherrero | Martínez | Mediana de Voltoya | Medinilla | Mingorría | Mironcillo | Mirueña de los Infanzones | Mirón, El | Monsalupe | Moraleja de Matacabras | Muñana | Muñico | Muñogalindo | Muñogrande | Muñomer del Peco | Muñosancho | Muñotello | Narrillos del Álamo | Narros de Saldueña | Narros del Castillo | Nava de Arévalo | Nava del Barco | Navalonguilla | Navatejares | Neila de San Miguel | Niharra | Ojos-Albos | Oso, El | Padiernos | Pajares de Adaja | Papatrigo | Parral, El | Pedro-Rodríguez | Peñalba de Ávila | Piedrahíta | Pozanco | Pradosegar | Puerto Castilla | Rasueros | Riocabado | Rivilla de Barajas | Salvadiós | San Bartolomé de Béjar | San Esteban de Zapardiel | San Esteban de los Patos | San García de Ingelmos | San Juan de Gredos | San Juan de la Encinilla | San Juan del Olmo | San Miguel de Serrezuela | San Pascual | San Pedro del Arroyo | San Vicente de Arévalo | Santa María del Arroyo | Santa María del Berrocal | Santiago del Collado | Santo Domingo de las Posadas | Santo Tomé de Zabarcos | Serrada, La | Sigeres | Solana de Rioalmar | Solana de Ávila | Tiñosillos | Tolbaños | Torre, La | Umbrías | Vega de Santa María | Velayos | Villaflor | Villanueva de Gómez | Villanueva del Aceral | Villanueva del Campillo | Villar de Corneja | Villatoro | Vita | Viñegra de Moraña | Zapardiel de la Cañada",1,05,Ávila,3462.429032279546,995.9996433427114,0.04386037887154924,3051078.005392444,2083603.019674574,2987056.38556711,2035488.627732456,3102195.027897926,2132384.3649243526,EPSG:3035
4,25815,29283.182926829268,-3468.1829268292677,3468.1829268292677,-0.11843599568719412,0.8815640043128059,23426.546341463414,51245.57012195122,True,True,32,22,05001 | 05016 | 05019 | 05070 | 05072 | 05090 | 05093 | 05102 | 05115 | 05161 | 05163 | 05168 | 05174 | 05178 | 05184 | 05195 | 05201 | 05204 | 05211 | 05235 | 05245 | 05902,"Adanero | Arévalo | Donvidas | Espinosa de los Caballeros | Gutierre-Muñoz | Herradón de Pinares | Hoyo de Pinares, El | Maello | Navalperal de Pinares | Navaluenga | Navas del Marqués, Las | Orbita | Palacios de Goda | Peguerinos | Riofrío | San Bartolomé de Pinares | San Juan de la Nava | Sanchidrián | Santa María del Cubillo | Sinlabajos | Tornadizos de Ávila | Ávila",1,05,Ávila,1124.0273683918322,473.6552328271501,0.06295961599721507,3093810.854173677,2071912.5471565921,3067226.1781199086,2039089.4249815785,3126361.864987703,2126428.520401917,EPSG:3035
5,25777,29283.182926829268,-3506.1829268292677,3506.1829268292677,-0.1197336688293164,0.8802663311706836,23426.546341463414,51245.57012195122,True,True,37,31,05002 | 05022 | 05039 | 05041 | 05053 | 05055 | 05057 | 05075 | 05079 | 05095 | 05107 | 05119 | 05120 | 05125 | 05141 | 05145 | 05148 | 05156 | 05158 | 05187 | 05188 | 05197 | 05205 | 05222 | 05227 | 05238 | 05239 | 05240 | 05241 | 05251 | 05252,"Adrada, La | Barraco, El | Brabos | Burgohondo | Casasola | Casillas | Cebreros | Fresnedilla | Gallegos de Altamiros | Higuera de las Dueñas | Hurtumpascual | Manjabálago y Ortigosa de Rioalmar | Marlín | Mengamuñoz | Muñopepe | Narrillos del Rebollar | Narros del Puerto | Navahondilla | Navalmoral | Piedralaves | Poveda | Salobral | Sanchorreja | Santa Cruz de Pinares | Santa María del Tiétar | Solosancho | Sotalbo | Sotillo de la Adrada | Tiemblo, El | Vadillo de la Sierra | Valdecasa",1,05,Ávila,1174.5147981815055,543.4025632515421,0.049983307587735705,3076029.1229073443,2051227.2325545647,3039526.5167624024,2020715.6800738834,3108614.726937946,2089689.8547358192,EPSG:3035
6,28924,29283.182926829268,-359.18292682926767,359.18292682926767,-0.012265843085663482,0.9877341569143365,23426.546341463414,51245.57012195122,True,True,18,1,09018,Aranda de Duero,1,09,Burgos,62.692922468489655,52.39568491992215,0.2869705535914435,3180634.708309474,2169889.842674308,3174950.2994493833,2162822.3931833007,3185128.5865177903,2176361.5978293195,EPSG:3035
7,30436,29283.182926829268,1152.8170731707323,1152.8170731707323,0.03936788825351771,1.0393678882535178,23426.546341463414,51245.57012195122,True,True,20,1,09059,Burgos,1,09,Burgos,42.2496969311952,43.26438067275161,0.2836432674482268,3194126.577910137,2242702.57200904,3187955.45999104,2238255.1772516784,3199778.1204364924,2246246.5267942785,EPSG:3035
8,29736,29283.182926829268,452.81707317073233,452.81707317073233,0.01546338300389679,1.0154633830038968,23426.546341463414,51245.57012195122,True,True,24,1,09059,Burgos,1,09,Burgos,13.631640744429628,23.566064603358416,0.3084493562220894,3198323.214796831,2238585.1182878795,3195834.9890340907,2235856.14268393,3201393.209048019,2241543.301439766,EPSG:3035
9,29053,29283.182926829268,-230.18292682926767,230.18292682926767,-0.007860584261090483,0.9921394157389095,23426.546341463414,51245.57012195122,True,True,26,1,09059,Burgos,1,09,Burgos,20.081823340993562,33.20752257699861,0.2288442755228764,3201926.8747700322,2241335.886349658,3197446.5442307536,2238667.03123212,3205698.1294974536,2245371.88731339,EPSG:3035
