CUSEC_KEY,district_id,section_pop,CPRO,NPRO,CUMUN,NMUN,CUDIS,ddd_unit_id,ddd_closed_urban
0501901001,0,1293,05,Ávila,05019,Ávila,0501901,05:05019:U1,True
0501901002,0,1406,05,Ávila,05019,Ávila,0501901,05:05019:U1,True
0501902001,0,1659,05,Ávila,05019,Ávila,0501902,05:05019:U1,True
0501902002,0,1141,05,Ávila,05019,Ávila,0501902,05:05019:U1,True
0501904001,0,1772,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904002,0,1556,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904003,0,1097,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904004,0,1085,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904005,0,1458,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904006,0,1494,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904008,0,2261,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904009,0,1384,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904010,0,888,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904011,0,2530,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904013,0,957,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501904014,0,1669,05,Ávila,05019,Ávila,0501904,05:05019:U1,True
0501905001,0,1516,05,Ávila,05019,Ávila,0501905,05:05019:U1,True
0501905002,0,1700,05,Ávila,05019,Ávila,0501905,05:05019:U1,True
0501905003,0,1193,05,Ávila,05019,Ávila,0501905,05:05019:U1,True
0501905005,0,1899,05,Ávila,05019,Ávila,0501905,05:05019:U1,True
0500701001,1,102,05,Ávila,05007,Aldeanueva de Santa Cruz,0500701,05:05007:M,False
0501301001,1,977,05,Ávila,05013,"Arenal, El",0501301,05:05013:M,False
0501401001,1,1852,05,Ávila,05014,Arenas de San Pedro,0501401,05:05014:M,False
0501402001,1,1176,05,Ávila,05014,Arenas de San Pedro,0501402,05:05014:M,False
0501402002,1,2161,05,Ávila,05014,Arenas de San Pedro,0501402,05:05014:M,False
0501403001,1,1291,05,Ávila,05014,Arenas de San Pedro,0501403,05:05014:M,False
0501801001,1,23,05,Ávila,05018,Avellaneda,0501801,05:05018:M,False
0502501001,1,70,05,Ávila,05025,Becedillas,0502501,05:05025:M,False
0503801001,1,139,05,Ávila,05038,Bonilla de la Sierra,0503801,05:05038:M,False
0504701001,1,1667,05,Ávila,05047,Candeleda,0504701,05:05047:M,False
0504703001,1,1413,05,Ávila,05047,Candeleda,0504703,05:05047:M,False
0504703002,1,1919,05,Ávila,05047,Candeleda,0504703,05:05047:M,False
0505201001,1,79,05,Ávila,05052,Casas del Puerto,0505201,05:05052:M,False
0505401001,1,1371,05,Ávila,05054,Casavieja,0505401,05:05054:M,False
0505801001,1,64,05,Ávila,05058,Cepeda la Mora,0505801,05:05058:M,False
0506301001,1,19,05,Ávila,05063,Collado del Mirón,0506301,05:05063:M,False
0506601001,1,511,05,Ávila,05066,Cuevas del Valle,0506601,05:05066:M,False
0508101001,1,37,05,Ávila,05081,Garganta del Villar,0508101,05:05081:M,False
0508201001,1,524,05,Ávila,05082,Gavilanes,0508201,05:05082:M,False
0508901001,1,463,05,Ávila,05089,Guisando,0508901,05:05089:M,False
0510001001,1,262,05,Ávila,05100,"Hornillo, El",0510001,05:05100:M,False
0510101001,1,295,05,Ávila,05101,Hoyocasero,0510101,05:05101:M,False
0510301001,1,57,05,Ávila,05103,Hoyorredondo,0510301,05:05103:M,False
0510401001,1,28,05,Ávila,05104,Hoyos del Collado,0510401,05:05104:M,False
0510501001,1,366,05,Ávila,05105,Hoyos del Espino,0510501,05:05105:M,False
0510601001,1,24,05,Ávila,05106,Hoyos de Miguel Muñoz,0510601,05:05106:M,False
0511001001,1,815,05,Ávila,05110,Lanzahíta,0511001,05:05110:M,False
0511301001,1,56,05,Ávila,05113,"Llanos de Tormes, Los",0511301,05:05113:M,False
0511601001,1,90,05,Ávila,05116,Malpartida de Corneja,0511601,05:05116:M,False
0512601001,1,63,05,Ávila,05126,Mesegar de Corneja,0512601,05:05126:M,False
0512701001,1,716,05,Ávila,05127,Mijares,0512701,05:05127:M,False
0513201001,1,922,05,Ávila,05132,Mombeltrán,0513201,05:05132:M,False
0515101001,1,101,05,Ávila,05151,Navacepedilla de Corneja,0515101,05:05151:M,False
0515401001,1,28,05,Ávila,05154,Navadijos,0515401,05:05154:M,False
0515501001,1,59,05,Ávila,05155,Navaescurial,0515501,05:05155:M,False
0515701001,1,194,05,Ávila,05157,Navalacruz,0515701,05:05157:M,False
0516001001,1,317,05,Ávila,05160,Navalosa,0516001,05:05160:M,False
0516201001,1,73,05,Ávila,05162,Navalperal de Tormes,0516201,05:05162:M,False
0516401001,1,38,05,Ávila,05164,Navaquesera,0516401,05:05164:M,False
0516501001,1,459,05,Ávila,05165,Navarredonda de Gredos,0516501,05:05165:M,False
0516601001,1,149,05,Ávila,05166,Navarredondilla,0516601,05:05166:M,False
0516701001,1,285,05,Ávila,05167,Navarrevisca,0516701,05:05167:M,False
0516901001,1,230,05,Ávila,05169,Navatalgordo,0516901,05:05169:M,False
0518101001,1,38,05,Ávila,05181,Pascualcobo,0518101,05:05181:M,False
0518201001,1,772,05,Ávila,05182,Pedro Bernardo,0518201,05:05182:M,False
0518901001,1,499,05,Ávila,05189,Poyales del Hoyo,0518901,05:05189:M,False
0520001001,1,32,05,Ávila,05200,San Bartolomé de Corneja,0520001,05:05200:M,False
0520701001,1,736,05,Ávila,05207,San Esteban del Valle,0520701,05:05207:M,False
0521201001,1,239,05,Ávila,05212,San Juan del Molinillo,0521201,05:05212:M,False
0521401001,1,31,05,Ávila,05214,San Lorenzo de Tormes,0521401,05:05214:M,False
0521501001,1,164,05,Ávila,05215,San Martín de la Vega del Alberche,0521501,05:05215:M,False
0521601001,1,221,05,Ávila,05216,San Martín del Pimpollar,0521601,05:05216:M,False
0521701001,1,68,05,Ávila,05217,San Miguel de Corneja,0521701,05:05217:M,False
0522101001,1,295,05,Ávila,05221,Santa Cruz del Valle,0522101,05:05221:M,False
0522601001,1,54,05,Ávila,05226,Santa María de los Caballeros,0522601,05:05226:M,False
0523301001,1,237,05,Ávila,05233,Serranillos,0523301,05:05233:M,False
0524401001,1,35,05,Ávila,05244,Tormellas,0524401,05:05244:M,False
0524601001,1,38,05,Ávila,05246,Tórtoles,0524601,05:05246:M,False
0525701001,1,130,05,Ávila,05257,Villafranca de la Sierra,0525701,05:05257:M,False
0526201001,1,304,05,Ávila,05262,Villarejo del Valle,0526201,05:05262:M,False
0526701001,1,90,05,Ávila,05267,Zapardiel de la Ribera,0526701,05:05267:M,False
0590401001,1,104,05,Ávila,05904,Santiago del Tormes,0590401,05:05904:M,False
0590501001,1,202,05,Ávila,05905,Villanueva de Ávila,0590501,05:05905:M,False
0501903001,2,1455,05,Ávila,05019,Ávila,0501903,05:05019:R,False
0501903002,2,1677,05,Ávila,05019,Ávila,0501903,05:05019:R,False
0501904012,2,1949,05,Ávila,05019,Ávila,0501904,05:05019:R,False
0501905004,2,2256,05,Ávila,05019,Ávila,0501905,05:05019:R,False
0501905006,2,2557,05,Ávila,05019,Ávila,0501905,05:05019:R,False
0501906001,2,891,05,Ávila,05019,Ávila,0501906,05:05019:R,False
0501906002,2,2682,05,Ávila,05019,Ávila,0501906,05:05019:R,False
0501906004,2,1014,05,Ávila,05019,Ávila,0501906,05:05019:R,False
0501906005,2,1381,05,Ávila,05019,Ávila,0501906,05:05019:R,False
