CUSEC_KEY,district_id,section_pop,CPRO,NPRO,CUMUN,NMUN,CUDIS,ddd_unit_id,ddd_closed_urban
0601801001,0,771,06,Badajoz,06018,Benquerencia de la Serena,0601801,74,False
0602301001,0,769,06,Badajoz,06023,Cabeza del Buey,0602301,79,False
0602302001,0,1345,06,Badajoz,06023,Cabeza del Buey,0602302,79,False
0602302003,0,829,06,Badajoz,06023,Cabeza del Buey,0602302,79,False
0602303001,0,680,06,Badajoz,06023,Cabeza del Buey,0602303,79,False
0602304001,0,861,06,Badajoz,06023,Cabeza del Buey,0602304,79,False
0603601001,0,575,06,Badajoz,06036,Castuera,0603601,92,False
0603601002,0,1083,06,Badajoz,06036,Castuera,0603601,92,False
0603602001,0,711,06,Badajoz,06036,Castuera,0603602,92,False
0603602002,0,910,06,Badajoz,06036,Castuera,0603602,92,False
0603603001,0,1455,06,Badajoz,06036,Castuera,0603603,92,False
0603603002,0,719,06,Badajoz,06036,Castuera,0603603,92,False
0604701001,0,912,06,Badajoz,06047,Esparragosa de la Serena,0604701,114,False
0608701001,0,879,06,Badajoz,06087,Monterrubio de la Serena,0608701,172,False
0608701002,0,834,06,Badajoz,06087,Monterrubio de la Serena,0608701,172,False
0608702001,0,440,06,Badajoz,06087,Monterrubio de la Serena,0608702,172,False
0616001001,0,1207,06,Badajoz,06160,Zalamea de la Serena,0616001,252,False
0616001002,0,1201,06,Badajoz,06160,Zalamea de la Serena,0616001,252,False
0616001003,0,958,06,Badajoz,06160,Zalamea de la Serena,0616001,252,False
0601502005,1,1826,06,Badajoz,06015,Badajoz,0601502,34,False
0601503003,1,2722,06,Badajoz,06015,Badajoz,0601503,34,False
0601503004,1,1365,06,Badajoz,06015,Badajoz,0601503,36,False
0601503005,1,1021,06,Badajoz,06015,Badajoz,0601503,37,False
0601503007,1,868,06,Badajoz,06015,Badajoz,0601503,37,False
0601503008,1,1371,06,Badajoz,06015,Badajoz,0601503,36,False
0601503009,1,796,06,Badajoz,06015,Badajoz,0601503,37,False
0601503011,1,883,06,Badajoz,06015,Badajoz,0601503,36,False
0601503012,1,1448,06,Badajoz,06015,Badajoz,0601503,38,False
0601503013,1,1423,06,Badajoz,06015,Badajoz,0601503,37,False
0601504015,1,970,06,Badajoz,06015,Badajoz,0601504,38,False
0601504016,1,1503,06,Badajoz,06015,Badajoz,0601504,38,False
0601401001,2,1234,06,Badajoz,06014,Azuaga,0601401,24,False
0601401002,2,709,06,Badajoz,06014,Azuaga,0601401,24,False
0601402001,2,694,06,Badajoz,06014,Azuaga,0601402,24,False
0601402002,2,1921,06,Badajoz,06014,Azuaga,0601402,24,False
0601403001,2,1011,06,Badajoz,06014,Azuaga,0601403,24,False
0601403002,2,766,06,Badajoz,06014,Azuaga,0601403,24,False
0601404001,2,1259,06,Badajoz,06014,Azuaga,0601404,24,False
0601901001,2,806,06,Badajoz,06019,Berlanga,0601901,75,False
0601901002,2,772,06,Badajoz,06019,Berlanga,0601901,75,False
0601902001,2,597,06,Badajoz,06019,Berlanga,0601902,75,False
0602901001,2,1326,06,Badajoz,06029,Campillo de Llerena,0602901,85,False
0605901001,2,1300,06,Badajoz,06059,Granja de Torrehermosa,0605901,126,False
0605901003,2,613,06,Badajoz,06059,Granja de Torrehermosa,0605901,126,False
0606401001,2,881,06,Badajoz,06064,Higuera de la Serena,0606401,131,False
0607601001,2,916,06,Badajoz,06076,Maguilla,0607601,143,False
